"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"72","2.769772","3.535E-5","0.36104055","0.0","13","5","false","龍韜","230.92307692","13","0","0","0.705038","false","0","龍韜","1396498","0.08873913","ORG"
"73","2.7704845","5.77E-6","0.3609477","0.0","8","5","false","龍華房屋","405.5","8","0","0","0.70491925","false","0","龍華房屋","412582","0.1560571","ORG"
"74","2.76656573","9.273E-5","0.36145897","0.0","26","5","false","龍華司令部","203.42307692","26","0","0","0.70557238","false","0","龍華司令部","4488264","0.07797499","ORG"
"75","2.76995012","1.96E-5","0.36101733","0.0","10","5","false","龍東公司","333.9","10","0","0","0.70500831","false","0","龍東公司","895918","0.12838411","ORG"
"76","2.76692198","8.137E-5","0.36141243","0.0","23","5","false","鼻塞鼻膿診","224.08695652","23","0","0","0.705513","false","0","鼻塞鼻膿診","3797132","0.08590179","ORG"
"77","2.77012825","1.623E-5","0.36099412","0.0","8","5","false","黨部臨時執行委員會","429.375","8","0","0","0.70497862","false","0","黨部臨時執行委員會","648598","0.16514071","ORG"
"78","2.77066263","6.98E-6","0.36092449","0.0","7","5","false","黨部特别委員會","398.28571429","7","0","0","0.70488956","false","0","黨部特别委員會","361946","0.15327381","ORG"
"79","2.76959387","3.416E-5","0.36106377","0.0","15","5","false","黨部民訓","205.8","15","0","0","0.70506769","false","0","黨部民訓","1733096","0.07907336","ORG"
"80","2.77119701","3.86E-6","0.36085489","0.0","4","5","false","黨部市社會局","796.25","4","0","0","0.7048005","false","0","黨部市社會局","188830","0.30680941","ORG"
"81","2.76959387","3.416E-5","0.36106377","0.0","15","5","false","黨部市政府建設討論委","205.8","15","0","0","0.70506769","false","0","黨部市政府建設討論委","1733096","0.07907336","ORG"
"82","2.75926256","3.1946E-4","0.36241567","0.0","73","5","false","黨部","158.28787879","73","0","4","0.70678957","false","0","黨部","29715650","0.06056522","ORG"
