"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"21032","2.14972194","0.03253672","0.46517644","0.0","2863","4","false","林康侯","64.77536232","2863","0","366","0.80837968","false","0","林康侯","4970740850","0.00428511","PERSON"
"4141","2.64290128","0.02032043","0.37837206","0.0","1584","3","false","國民政府","61.42696629","1584","0","192","0.72618312","false","0","政府","15680477766","0.01203485","ORG"
"6634","2.66029754","0.01166181","0.3758978","0.0","1426","4","false","外交部","68.80983302","1426","0","202","0.72328374","false","0","外交部","9874991168","0.01354571","ORG"
"11623","2.57112981","0.04411891","0.38893408","0.0","2677","3","false","中央","45.60269865","2677","0","348","0.73814503","false","0","中央","31578220468","0.00888323","ORG"
"21033","2.10551832","0.04252768","0.47494244","0.0","3211","4","false","杜月笙","59.49384811","3211","0","398","0.81574695","false","0","杜月笙","5595879474","0.0038838","PERSON"
"7159","2.63082846","0.02266448","0.3801084","0.0","1774","3","false","國民政府","55.31099782","1774","0","225","0.72819526","false","0","國民政府","16062258416","0.01081677","ORG"
"21006","1.76557821","0.2200663","0.56638669","0.0","6769","4","false","王曉籟","37.42940349","6769","0","778","0.87240363","false","0","王曉籟","11420322136","0.00227471","PERSON"
"5374","2.30961548","0.16930312","0.43297251","0.0","6626","3","false","工部局","25.77125421","6626","0","879","0.78173075","false","0","工部局","96258334972","0.00493353","ORG"
"2010","2.63177908","0.02303974","0.3799711","0.0","1729","3","false","社會局","58.75641966","1729","0","221","0.72803682","false","0","社會局","16494023922","0.01150297","ORG"
"4088","2.66001236","0.01431599","0.3759381","0.0","1349","4","false","敎育局","64.17570093","1349","0","153","0.72333127","false","0","敎育局","10800638280","0.01259233","ORG"
"737","2.6500309","0.01648376","0.37735409","0.0","1560","4","false","財政部","61.60118044","1560","0","190","0.72499485","false","0","財政部","12546633486","0.01210571","ORG"
"4867","2.60592233","0.02593481","0.38374129","0.0","2228","3","false","市政府","53.42813456","2228","0","305","0.73234628","false","0","市政府","20487744322","0.01044177","ORG"
"2158","2.66077285","0.01688807","0.37583065","0.0","1366","4","false","申時社","67.74557316","1366","0","165","0.72320452","false","0","申時社","11561008178","0.01333311","ORG"
"3165","2.5916631","0.03716469","0.38585262","0.0","2357","3","false","江海關","49.70420168","2357","0","285","0.73472282","false","0","江海關","25487502178","0.0097001","ORG"
"15484","2.35819193","0.13395522","0.42405369","0.0","5744","3","false","上海總商會","28.89483612","5744","0","746","0.77363468","false","0","上海總商會","86540121896","0.00555563","ORG"
"4516","2.65259756","0.02529668","0.37698896","0.0","1509","4","false","復旦大學","60.60310613","1509","0","214","0.72456707","false","0","復旦大學","15048754614","0.01190633","ORG"
"3260","2.64233091","0.02254375","0.37845373","0.0","1553","4","false","永安公司","59.03540519","1553","0","160","0.72627818","false","0","永安公司","15400620528","0.01160244","ORG"
"971","2.62731118","0.02346056","0.38061727","0.0","1912","4","false","行政院","56.59193777","1912","0","264","0.72878147","false","0","行政院","17282529772","0.01108071","ORG"
