"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"21092","0.00849171","0.42694509","1067","史量才","false","史量才","PERSON"
"21032","0.03253672","0.46517644","2863","林康侯","false","林康侯","PERSON"
"20974","0.00814117","0.42104947","802","袁履登","false","袁履登","PERSON"
"6059","0.00579693","0.36860086","643","大陸","false","大陸","ORG"
"4753","0.00253637","0.36751913","581","市民聨合會","false","市民聨合會","ORG"
"5675","0.00937903","0.37160873","949","實業部","false","實業部","ORG"
"21033","0.04252768","0.47494244","3211","杜月笙","false","杜月笙","PERSON"
"21095","0.00378854","0.40941465","572","劉鴻生","false","劉鴻生","PERSON"
"3877","0.00469975","0.36888523","661","新華","false","新華","ORG"
"4088","0.01431599","0.3759381","1349","敎育局","false","敎育局","ORG"
"737","0.01648376","0.37735409","1560","財政部","false","財政部","ORG"
"20919","0.00285357","0.40589189","503","諸文綺","false","諸文綺","PERSON"
"4867","0.02593481","0.38374129","2228","市政府","false","市政府","ORG"
"17445","0.00348141","0.36820091","591","上海市政府","false","上海市政府","ORG"
"21042","0.00456938","0.40828644","619","李大超","false","李大超","PERSON"
"15484","0.13395522","0.42405369","5744","上海總商會","false","上海總商會","ORG"
"2198","0.00765648","0.3679176","539","申新公司","false","申新公司","ORG"
"6426","0.00639273","0.36917003","718","大夏","false","大夏","ORG"
"4516","0.02529668","0.37698896","1509","復旦大學","false","復旦大學","ORG"
"9307","0.00300877","0.36700624","515","交通銀行","false","交通銀行","ORG"
"971","0.02346056","0.38061727","1912","行政院","false","行政院","ORG"
"20868","0.00530957","0.41488858","778","徐寄傾","false","徐寄傾","PERSON"
"2655","0.00726613","0.37091428","822","淞滬警備司令部","false","淞滬警備司令部","ORG"
"777","0.00236674","0.36753197","551","警備司令部","false","警備司令部","ORG"
"4141","0.02032043","0.37837206","1584","政府","false","政府","ORG"
"500","0.00206066","0.36807208","607","錢業同業公會","false","錢業同業公會","ORG"
"11785","0.00751955","0.37067902","900","中國銀行","false","中國銀行","ORG"
"21049","0.00626374","0.4187199","849","方椒伯","false","方椒伯","PERSON"
"5374","0.16930312","0.43297251","6626","工部局","false","工部局","ORG"
"20931","0.00507417","0.41464328","775","俞鴻鈞","false","俞鴻鈞","PERSON"
"4194","0.00505073","0.36847175","684","招商局","false","招商局","ORG"
"1805","0.0057992","0.37013124","767","立法院","false","立法院","ORG"
"3959","0.007547","0.37197666","987","新新公司","false","新新公司","ORG"
"21057","0.00408724","0.4098613","641","徐新六","false","徐新六","PERSON"
"3260","0.02254375","0.37845373","1553","永安公司","false","永安公司","ORG"
"10774","0.01074667","0.37373432","1191","中央銀行","false","中央銀行","ORG"
"9376","0.00422285","0.36816225","595","交通部","false","交通部","ORG"
"6634","0.01166181","0.3758978","1426","外交部","false","外交部","ORG"
"21062","0.00813648","0.42360971","1013","張嘯林","false","張嘯林","PERSON"
"21006","0.2200663","0.56638669","6769","王曉籟","false","王曉籟","PERSON"
"10072","0.00471181","0.36780183","585","中華慈幼協會","false","中華慈幼協會","ORG"
"11931","0.00481866","0.36780183","604","中國航空建設協會","false","中國航空建設協會","ORG"
"21009","0.01222439","0.43390117","1253","王延松","false","王延松","PERSON"
"20263","0.00252006","0.39863201","515","童行白","false","童行白","PERSON"
"20785","0.00347155","0.40814387","538","秦潤卿","false","秦潤卿","PERSON"
"20522","0.00345491","0.40550073","559","胡西園","false","胡西園","PERSON"
"2158","0.01688807","0.37583065","1366","申時社","false","申時社","ORG"
"3165","0.03716469","0.38585262","2357","江海關","false","江海關","ORG"
"20471","0.00275392","0.40597021","536","陳光甫","false","陳光甫","PERSON"
"21013","0.00686179","0.41705983","781","王一亭","false","王一亭","PERSON"
"4699","0.00524307","0.3701052","840","市黨部","false","市黨部","ORG"
"20526","0.00542717","0.41672939","807","聞蘭亭","false","聞蘭亭","PERSON"
"21074","0.00483106","0.4118027","712","孫科","false","孫科","PERSON"
"20677","0.00437988","0.41222227","760","貝淞孫","false","貝淞孫","PERSON"
"1573","0.00514234","0.36799482","550","美亞綢廠","false","美亞綢廠","ORG"
"19123","0.01041318","0.37350873","1181","上海地方協會","false","上海地方協會","ORG"
"8681","0.00326934","0.36928667","719","全國商會聯合會","false","全國商會聯合會","ORG"
"1793","0.01006088","0.37143816","947","童子軍","false","童子軍","ORG"
"3892","0.00863824","0.37114984","891","新聲","false","新聲","ORG"
"11623","0.04411891","0.38893408","2677","中央","false","中央","ORG"
"20958","0.00331239","0.40378858","566","金潤庠","false","金潤庠","PERSON"
"7159","0.02266448","0.3801084","1774","國民政府","false","國民政府","ORG"
"512","0.00562211","0.36953314","772","銀行公會","false","銀行公會","ORG"
"2010","0.02303974","0.3799711","1729","社會局","false","社會局","ORG"
"5544","0.00359381","0.36820091","637","寧波旅滬同鄕會","false","寧波旅滬同鄕會","ORG"
"912","0.00448837","0.36754481","542","衛生局","false","衛生局","ORG"
"20481","0.00352966","0.40846082","659","郭順","false","郭順","PERSON"
"21026","0.00292417","0.40442505","534","楊虎","false","楊虎","PERSON"
"3863","0.01293554","0.36852338","585","新銘","false","新銘","ORG"
"2515","0.01194729","0.37280717","1037","滬江大學","false","滬江大學","ORG"
"21087","0.00516615","0.41666337","751","吳藴初","false","吳藴初","PERSON"
"21090","0.00417232","0.40766935","645","吳鐵成","false","吳鐵成","PERSON"
