"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"841","2.79802513","0.00632437","0.35739493","0.0","34","4","false","唐拾義","35.4516129","34","0","2","0.55049372","false","0","唐拾義","493978","0.06849227","PERSON"
"583","2.2540395","0.06648154","0.44364795","0.0","140","4","false","林康侯","23.74820144","140","0","1","0.68649013","false","0","林康侯","4563468","0.03259055","PERSON"
"1113","2.67863555","0.00938282","0.3733244","0.0","45","3","false","克利斯浦","21.45454545","45","0","1","0.58034111","false","0","克利斯浦","656210","0.07575758","ORG"
"1000","2.68402154","0.02011681","0.37257525","0.0","48","3","false","經濟部","21.95121951","48","0","5","0.57899461","false","0","經濟部","1043276","0.07759711","ORG"
"370","2.44075404","0.03704211","0.40970945","0.0","86","4","false","羅斯福","27.89285714","86","0","2","0.63981149","false","0","羅斯福","2312360","0.04143738","PERSON"
"1003","2.7037702","0.0135545","0.36985392","0.0","30","3","false","中央振濟委員會","17.56666667","30","0","0","0.57405745","false","0","中央振濟委員會","476376","0.06135802","ORG"
"1004","2.7037702","0.0135545","0.36985392","0.0","30","3","false","中國兒童健康實騐站","17.56666667","30","0","0","0.57405745","false","0","中國兒童健康實騐站","476376","0.06135802","ORG"
"1005","2.7037702","0.0135545","0.36985392","0.0","30","3","false","中國兒童健康實騐","17.56666667","30","0","0","0.57405745","false","0","中國兒童健康實騐","476376","0.06135802","ORG"
"1176","2.68043088","0.01062173","0.37307435","0.0","43","3","false","復旦大學","32.41860465","43","0","0","0.57989228","false","0","復旦大學","999182","0.1163652","ORG"
"797","2.53949731","0.01258006","0.39377872","0.0","38","4","false","姚佐頓","41.65789474","38","0","0","0.61512567","false","0","姚佐頓","980544","0.06352796","PERSON"
"1179","2.63554758","0.03173623","0.37942779","0.0","68","3","false","眼科專門醫院","21.0","68","0","0","0.59111311","false","0","青眼科專門醫院","2023200","0.07407407","ORG"
"365","2.58258528","0.01450579","0.3872089","0.0","44","4","false","聞蘭亭","38.09302326","44","0","1","0.60435368","false","0","聞蘭亭","1161172","0.06070871","PERSON"
"1118","2.68940754","0.01457384","0.37182911","0.0","42","3","false","滬江痔瘡醫院","23.39473684","42","0","2","0.57764811","false","0","滬江痔瘡醫院","865546","0.08294347","ORG"
"1181","2.46319569","0.10520946","0.40597668","0.0","164","3","false","八角總院","12.5","164","0","0","0.63420108","false","0","八角總院","7730318","0.04259259","ORG"
"595","2.71005386","0.00654867","0.36899636","0.0","38","4","false","杜月","38.6","38","0","2","0.57248654","false","0","杜月","591972","0.06861314","PERSON"
"1183","2.6481149","0.01526143","0.37762712","0.0","61","3","false","福特","15.83606557","61","0","0","0.58797127","false","0","福特","919478","0.05494839","ORG"
"1069","2.65709156","0.01276445","0.37635135","0.0","56","3","false","眼科專門醫院","26.33928571","56","0","0","0.58572711","false","0","眼科專門醫院","1432222","0.09384921","ORG"
"1184","2.19748654","0.25865906","0.45506536","0.0","336","3","false","工部局","9.58012821","336","0","17","0.70062837","false","0","工部局","15185652","0.03177825","ORG"
"1015","2.6983842","0.00540639","0.37059215","0.0","33","3","false","美産科總分院","31.81818182","33","0","0","0.57540395","false","0","美産科總分院","707074","0.11414141","ORG"
"1185","2.6535009","0.0124385","0.37686062","0.0","58","3","false","上海市潮糖雜貨業同業公會整理委員會","16.34482759","58","0","0","0.58662478","false","0","上海市潮糖雜貨業同業公會整理委員會","743744","0.05683269","ORG"
"467","1.7567325","0.37057867","0.56923863","0.0","306","2","false","王曉籟","18.02583026","306","0","23","0.81081688","false","0","王曉籟","12530248","0.02019671","PERSON"
"1016","2.6983842","0.00540639","0.37059215","0.0","33","3","false","省立助産學校","31.81818182","33","0","0","0.57540395","false","0","省立助産學校","707074","0.11414141","ORG"
"1070","2.59874327","0.0159223","0.38480138","0.0","84","4","false","俞佐庭","25.28571429","84","0","0","0.60031418","false","0","俞佐庭","1285456","0.04329004","PERSON"
"1125","2.67324955","0.01666058","0.37407656","0.0","47","3","false","美產科醫院","24.38297872","47","0","0","0.58168761","false","0","美產科醫院","1186000","0.08660362","ORG"
"1017","2.6983842","0.00540639","0.37059215","0.0","33","3","false","無任公企","31.81818182","33","0","0","0.57540395","false","0","無任公企","707074","0.11414141","ORG"
"1018","2.6983842","0.00540639","0.37059215","0.0","33","3","false","浙江省立醫藥專門學校","31.81818182","33","0","0","0.57540395","false","0","浙江省立醫藥專門學校","707074","0.11414141","ORG"
"1019","2.6983842","0.00540639","0.37059215","0.0","33","3","false","東京女子專門醫學校","31.81818182","33","0","0","0.57540395","false","0","東京女子專門醫學校","707074","0.11414141","ORG"
"446","2.7459605","0.00411438","0.3641713","0.0","32","4","false","王選","35.53125","32","0","0","0.56350987","false","0","王選","377048","0.0650306","PERSON"
"1075","2.61938959","0.06235063","0.38176833","0.0","81","3","false","永安公司","15.5974026","81","0","3","0.5951526","false","0","永安公司","2635634","0.05406445","ORG"
"1130","2.7037702","0.01238285","0.36985392","0.0","30","3","false","中央","21.7","30","0","0","0.57405745","false","0","中央","561984","0.07666667","ORG"
"1076","2.68222621","0.0064268","0.37282463","0.0","42","3","false","新新公司","31.26190476","42","0","0","0.57944345","false","0","新新公司","808430","0.11208113","ORG"
"943","2.57719928","0.01317051","0.38801811","0.0","81","4","false","劉鴻生","24.20987654","81","0","0","0.60570018","false","0","劉鴻生","1015984","0.04029492","PERSON"
"1081","2.65529623","0.02642071","0.37660581","0.0","64","3","false","上海總商會","19.87719298","64","0","5","0.58617594","false","0","上海總商會","1648554","0.06991553","ORG"
"800","2.82315978","0.00541773","0.35421304","0.0","36","4","false","奚玉書","35.94285714","36","0","1","0.54421005","false","0","奚玉書","421918","0.07204713","PERSON"
"278","2.7513465","0.00626861","0.3634584","0.0","32","4","false","袁履登","39.35483871","32","0","1","0.56216338","false","0","袁履登","623392","0.07250442","PERSON"
"1035","2.7037702","0.00395668","0.36985392","0.0","30","3","false","關醫院","31.7","30","0","0","0.57405745","false","0","關醫院","357122","0.1137037","ORG"
