"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"8018","2.7696744","0.00171597","0.36105327","0.0","127","5","false","大滬","26.88095238","127","0","1","0.70505427","false","0","大滬","33173942","0.01547904","ORG"
"8175","2.73555208","0.01357201","0.36555692","0.0","278","4","false","復旦大學","30.70833333","278","0","10","0.71074132","false","0","復旦大學","215166518","0.01774691","ORG"
"1267","2.83022948","0.00379769","0.35332824","0.0","115","4","false","邵力子","94.94495413","115","0","5","0.69496175","false","0","邵力子","55417228","0.02395944","PERSON"
"8021","2.77520125","0.00205414","0.36033423","0.0","102","5","false","蘇浙皖區敵僞產業處理局","44.03921569","102","0","0","0.70413313","false","0","蘇浙皖區敵僞產業處理局","34794212","0.02572577","ORG"
"8294","2.77087589","0.00203301","0.36089671","0.0","122","5","false","農會","40.19166667","122","0","2","0.70485402","false","0","農會","40952320","0.02342598","ORG"
"8237","2.77520125","0.00285762","0.36033423","0.0","108","5","false","國民政府","48.19607843","108","0","6","0.70413313","false","0","國民政府","35882000","0.02821045","ORG"
"8296","2.67764027","0.03265278","0.37346316","0.0","550","4","false","上海總商會","23.77425743","550","0","33","0.72039329","false","0","上海總商會","653022156","0.01360469","ORG"
"8239","2.71945212","0.0119301","0.36772113","0.0","364","3","false","美亞綢廠","29.21515152","364","0","25","0.71342465","false","0","美亞綢廠","292582412","0.01684487","ORG"
"8240","2.77279827","0.00289363","0.3606465","0.0","126","5","false","新華","48.41071429","126","0","10","0.70453362","false","0","新華","46762210","0.02833874","ORG"
"5982","2.46233329","0.02099086","0.40611886","0.0","329","4","false","奚玉書","73.21453287","329","0","32","0.75627778","false","0","奚玉書","246297364","0.01369775","PERSON"
"7015","2.8278265","0.0042752","0.35362848","0.0","121","4","false","劉鴻生","95.97196262","121","0","12","0.69536225","false","0","劉鴻生","55894852","0.02414746","PERSON"
"5909","2.82181906","0.00496772","0.35438133","0.0","121","4","false","姚爾昌","103.88596491","121","0","6","0.69636349","false","0","姚爾昌","73127114","0.02604049","PERSON"
"8242","2.75934158","0.00382643","0.36240529","0.0","180","5","false","大誠","37.4491018","180","0","11","0.7067764","false","0","大誠","79831926","0.02177366","ORG"
"6506","2.85017422","0.00418197","0.35085575","0.0","135","4","false","吳藴初","89.225","135","0","13","0.69163763","false","0","吳藴初","55693532","0.02305331","PERSON"
"4684","2.57359125","0.0110987","0.38856209","0.0","189","4","false","方治","82.96590909","189","0","11","0.73773479","false","0","方治","120725910","0.01665297","PERSON"
"8131","2.77568185","0.00198003","0.36027184","0.0","104","5","false","良緣集團","32.99009901","104","0","3","0.70405303","false","0","良緣集團","25712568","0.01913283","ORG"
"8352","2.77159678","0.00301003","0.36080284","0.0","118","5","false","三友實業社","34.31623932","118","0","1","0.70473387","false","0","三友實業社","42585974","0.01991407","ORG"
"8246","2.76486844","0.0064979","0.36168086","0.0","158","5","false","財政部","42.35862069","158","0","7","0.70585526","false","0","財政部","79918480","0.02472123","ORG"
