"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"177","2.65529623","0.02642071","0.37660581","0.0","64","3","false","上海總商會","19.87719298","64","0","5","0.58617594","false","0","上海總商會","1648554","0.06991553","ORG"
"94","2.67863555","0.00835742","0.3733244","0.0","46","3","false","大新公司","32.75","46","0","2","0.58034111","false","0","大新公司","1028260","0.11759259","ORG"
"315","2.57719928","0.01317051","0.38801811","0.0","81","4","false","劉鴻生","24.20987654","81","0","0","0.60570018","false","0","劉鴻生","1015984","0.04029492","PERSON"
"664","2.06732496","0.12778547","0.48371689","0.0","211","4","false","杜月笙","20.91623037","211","0","14","0.73316876","false","0","杜月笙","7228232","0.02655497","PERSON"
"182","2.68222621","0.0064268","0.37282463","0.0","42","3","false","新新公司","31.26190476","42","0","0","0.57944345","false","0","新新公司","808430","0.11208113","ORG"
"183","2.61938959","0.06235063","0.38176833","0.0","81","3","false","永安公司","15.5974026","81","0","3","0.5951526","false","0","永安公司","2635634","0.05406445","ORG"
"102","2.62477558","0.04037495","0.38098495","0.0","77","3","false","日軍","10.75675676","77","0","2","0.5938061","false","0","日軍","1873622","0.03613614","ORG"
"103","2.68222621","0.01404064","0.37282463","0.0","42","3","false","星報","15.64285714","42","0","0","0.57944345","false","0","星報","696514","0.0542328","ORG"
"133","2.67324955","0.01666058","0.37407656","0.0","47","3","false","美產科醫院","24.38297872","47","0","0","0.58168761","false","0","美產科醫院","1186000","0.08660362","ORG"
"188","2.59874327","0.0159223","0.38480138","0.0","84","4","false","俞佐庭","25.28571429","84","0","0","0.60031418","false","0","俞佐庭","1285456","0.04329004","PERSON"
"791","1.7567325","0.37057867","0.56923863","0.0","306","2","false","王曉籟","18.02583026","306","0","23","0.81081688","false","0","王曉籟","12530248","0.02019671","PERSON"
"73","2.6535009","0.0124385","0.37686062","0.0","58","3","false","上海市潮糖雜貨業同業公會整理委員會","16.34482759","58","0","0","0.58662478","false","0","上海市潮糖雜貨業同業公會整理委員會","743744","0.05683269","ORG"
"104","2.64991023","0.02959132","0.37737127","0.0","60","3","false","百昌行","19.9","60","0","0","0.58752244","false","0","百昌行","1880970","0.07","ORG"
"856","2.72800718","0.00665503","0.36656795","0.0","62","4","false","秦潤卿","25.87096774","62","0","0","0.5679982","false","0","秦潤卿","551206","0.04867117","PERSON"
"74","2.19748654","0.25865906","0.45506536","0.0","336","3","false","工部局","9.58012821","336","0","17","0.70062837","false","0","工部局","15185652","0.03177825","ORG"
"189","2.65709156","0.01276445","0.37635135","0.0","56","3","false","眼科專門醫院","26.33928571","56","0","0","0.58572711","false","0","眼科專門醫院","1432222","0.09384921","ORG"
"75","2.6481149","0.01526143","0.37762712","0.0","61","3","false","福特","15.83606557","61","0","0","0.58797127","false","0","福特","919478","0.05494839","ORG"
"1038","2.63105925","0.00973666","0.38007506","0.0","78","4","false","郭襄士","23.85897436","78","0","0","0.59223519","false","0","郭襄士","770872","0.04163748","PERSON"
"162","2.68222621","0.01337168","0.37282463","0.0","46","3","false","國民政府","20.38095238","46","0","3","0.57944345","false","0","國民政府","968420","0.07178131","ORG"
"77","2.46319569","0.10520946","0.40597668","0.0","164","3","false","八角總院","12.5","164","0","0","0.63420108","false","0","八角總院","7730318","0.04259259","ORG"
"109","2.68043088","0.01534384","0.37307435","0.0","49","3","false","行政院","25.53488372","49","0","4","0.57989228","false","0","行政院","1165740","0.09086994","ORG"
"893","2.58258528","0.01450579","0.3872089","0.0","44","4","false","聞蘭亭","38.09302326","44","0","1","0.60435368","false","0","聞蘭亭","1161172","0.06070871","PERSON"
"164","2.66786355","0.01779281","0.37483176","0.0","53","3","false","國民政府","18.3","53","0","2","0.58303411","false","0","政府","1277316","0.06407407","ORG"
"79","2.63554758","0.03173623","0.37942779","0.0","68","3","false","眼科專門醫院","21.0","68","0","0","0.59111311","false","0","青眼科專門醫院","2023200","0.07407407","ORG"
"112","2.58348294","0.05914632","0.38707436","0.0","98","3","false","紅軍","18.11340206","98","0","1","0.60412926","false","0","紅軍","4242226","0.06338297","ORG"
"82","2.68043088","0.01062173","0.37307435","0.0","43","3","false","復旦大學","32.41860465","43","0","0","0.57989228","false","0","復旦大學","999182","0.1163652","ORG"
"888","2.44075404","0.03704211","0.40970945","0.0","86","4","false","羅斯福","27.89285714","86","0","2","0.63981149","false","0","羅斯福","2312360","0.04143738","PERSON"
"258","2.68402154","0.02011681","0.37257525","0.0","48","3","false","經濟部","21.95121951","48","0","5","0.57899461","false","0","經濟部","1043276","0.07759711","ORG"
"145","2.67863555","0.00938282","0.3733244","0.0","45","3","false","克利斯浦","21.45454545","45","0","1","0.58034111","false","0","克利斯浦","656210","0.07575758","ORG"
"675","2.2540395","0.06648154","0.44364795","0.0","140","4","false","林康侯","23.74820144","140","0","1","0.68649013","false","0","林康侯","4563468","0.03259055","PERSON"
