"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"21092","2.34222159","0.00849171","0.42694509","0.0","1067","4","false","史量才","117.67505995","1067","0","137","0.7762964","false","0","史量才","2470957522","0.00827835","PERSON"
"21032","2.14972194","0.03253672","0.46517644","0.0","2863","4","false","林康侯","64.77536232","2863","0","366","0.80837968","false","0","林康侯","4970740850","0.00428511","PERSON"
"6634","2.66029754","0.01166181","0.3758978","0.0","1426","4","false","外交部","68.80983302","1426","0","202","0.72328374","false","0","外交部","9874991168","0.01354571","ORG"
"21062","2.36066353","0.00813648","0.42360971","0.0","1013","4","false","張嘯林","118.22047244","1013","0","131","0.77322275","false","0","張嘯林","2169149276","0.00838967","PERSON"
"5675","2.69100242","0.00937903","0.37160873","0.0","949","4","false","實業部","78.70223979","949","0","130","0.71816626","false","0","實業部","5913419852","0.01553423","ORG"
"21033","2.10551832","0.04252768","0.47494244","0.0","3211","4","false","杜月笙","59.49384811","3211","0","398","0.81574695","false","0","杜月笙","5595879474","0.0038838","PERSON"
"21006","1.76557821","0.2200663","0.56638669","0.0","6769","4","false","王曉籟","37.42940349","6769","0","778","0.87240363","false","0","王曉籟","11420322136","0.00227471","PERSON"
"21009","2.30467228","0.01222439","0.43390117","0.0","1253","4","false","王延松","103.75","1253","0","159","0.78255462","false","0","王延松","2795597438","0.00715978","PERSON"
"4088","2.66001236","0.01431599","0.3759381","0.0","1349","4","false","敎育局","64.17570093","1349","0","153","0.72333127","false","0","敎育局","10800638280","0.01259233","ORG"
"737","2.6500309","0.01648376","0.37735409","0.0","1560","4","false","財政部","61.60118044","1560","0","190","0.72499485","false","0","財政部","12546633486","0.01210571","ORG"
"4867","2.60592233","0.02593481","0.38374129","0.0","2228","3","false","市政府","53.42813456","2228","0","305","0.73234628","false","0","市政府","20487744322","0.01044177","ORG"
"2158","2.66077285","0.01688807","0.37583065","0.0","1366","4","false","申時社","67.74557316","1366","0","165","0.72320452","false","0","申時社","11561008178","0.01333311","ORG"
"3165","2.5916631","0.03716469","0.38585262","0.0","2357","3","false","江海關","49.70420168","2357","0","285","0.73472282","false","0","江海關","25487502178","0.0097001","ORG"
"15484","2.35819193","0.13395522","0.42405369","0.0","5744","3","false","上海總商會","28.89483612","5744","0","746","0.77363468","false","0","上海總商會","86540121896","0.00555563","ORG"
"4516","2.65259756","0.02529668","0.37698896","0.0","1509","4","false","復旦大學","60.60310613","1509","0","214","0.72456707","false","0","復旦大學","15048754614","0.01190633","ORG"
"971","2.62731118","0.02346056","0.38061727","0.0","1912","4","false","行政院","56.59193777","1912","0","264","0.72878147","false","0","行政院","17282529772","0.01108071","ORG"
"19123","2.67731356","0.01041318","0.37350873","0.0","1181","3","false","上海地方協會","77.22285068","1181","0","161","0.72044774","false","0","上海地方協會","7223778248","0.01518081","ORG"
"2655","2.69604069","0.00726613","0.37091428","0.0","822","4","false","淞滬警備司令部","76.17988669","822","0","81","0.71732655","false","0","淞滬警備司令部","4953104366","0.01502997","ORG"
"1793","2.69223822","0.01006088","0.37143816","0.0","947","4","false","童子軍","82.2613941","947","0","124","0.7179603","false","0","童子軍","6201430884","0.01624578","ORG"
"3892","2.69432958","0.00863824","0.37114984","0.0","891","4","false","新聲","84.62292818","891","0","101","0.71761174","false","0","新聲","5268488544","0.0167179","ORG"
"11623","2.57112981","0.04411891","0.38893408","0.0","2677","3","false","中央","45.60269865","2677","0","348","0.73814503","false","0","中央","31578220468","0.00888323","ORG"
"7159","2.63082846","0.02266448","0.3801084","0.0","1774","3","false","國民政府","55.31099782","1774","0","225","0.72819526","false","0","國民政府","16062258416","0.01081677","ORG"
"5374","2.30961548","0.16930312","0.43297251","0.0","6626","3","false","工部局","25.77125421","6626","0","879","0.78173075","false","0","工部局","96258334972","0.00493353","ORG"
"2010","2.63177908","0.02303974","0.3799711","0.0","1729","3","false","社會局","58.75641966","1729","0","221","0.72803682","false","0","社會局","16494023922","0.01150297","ORG"
"2515","2.68235182","0.01194729","0.37280717","0.0","1037","4","false","滬江大學","72.64184397","1037","0","122","0.71960803","false","0","滬江大學","8255820128","0.0143112","ORG"
"3959","2.6883407","0.007547","0.37197666","0.0","987","4","false","新新公司","83.76620076","987","0","127","0.71860988","false","0","新新公司","6091892456","0.01654662","ORG"
"3260","2.64233091","0.02254375","0.37845373","0.0","1553","4","false","永安公司","59.03540519","1553","0","160","0.72627818","false","0","永安公司","15400620528","0.01160244","ORG"
"10774","2.67569751","0.01074667","0.37373432","0.0","1191","4","false","中央銀行","74.80773481","1191","0","159","0.72071708","false","0","中央銀行","8124909454","0.01471153","ORG"
