"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"4476","2.67785892","0.01790486","0.37343267","0.0","763","4","false","北伐軍","43.93700787","763","0","119","0.72035685","false","0","北伐軍","1273172612","0.0164952","ORG"
"11252","2.52511578","0.0080231","0.39602144","0.0","569","4","false","聞蘭亭","86.6396648","569","0","60","0.74581404","false","0","聞蘭亭","351795722","0.01293846","PERSON"
"1649","2.61604916","0.03987954","0.38225581","0.0","1109","4","false","江海關","34.38056206","1109","0","112","0.73065847","false","0","江海關","2943200874","0.01281896","ORG"
"111","2.71936231","0.00861707","0.36773327","0.0","402","5","false","魯軍","44.65505226","402","0","75","0.71343962","false","0","魯軍","417924096","0.0167904","ORG"
"2628","2.43952618","0.12606568","0.40991567","0.0","3199","3","false","工部局","23.36659436","3199","0","341","0.76007897","false","0","工部局","8391100910","0.00858602","ORG"
"11263","2.40024938","0.01849853","0.41662338","0.0","1018","4","false","馮少山","63.65434084","1018","0","96","0.7666251","false","0","馮少山","611991824","0.00887958","PERSON"
"11200","2.39543997","0.01624163","0.41745985","0.0","944","4","false","王延松","69.21493625","944","0","98","0.76742667","false","0","王延松","548187214","0.00953255","PERSON"
"11202","2.40523691","0.01665525","0.41575946","0.0","693","4","false","王一亭","74.08533917","693","0","71","0.76579385","false","0","王一亭","471703920","0.01016062","PERSON"
"448","2.6817777","0.0157399","0.37288698","0.0","673","4","false","財政部","47.20412371","673","0","73","0.71970372","false","0","財政部","1128578508","0.01774352","ORG"
"2718","2.63172426","0.03163458","0.37997902","0.0","1309","3","false","工商部","38.10849673","1309","0","150","0.72804596","false","0","工商部","2353999722","0.0142451","ORG"
"11145","2.61168507","0.00468207","0.38289456","0.0","329","4","false","石芝坤","103.38095238","329","0","27","0.73138582","false","0","石芝坤","245725684","0.01640983","PERSON"
"297","2.73094051","0.00355339","0.36617422","0.0","268","5","false","銀行公會","73.30630631","268","0","22","0.71150992","false","0","銀行公會","272780776","0.02781012","ORG"
"6307","2.71508728","0.01668439","0.36831228","0.0","341","4","false","中央銀行","54.84615385","341","0","27","0.71415212","false","0","中央銀行","566024636","0.02068619","ORG"
"135","2.71188101","0.01111413","0.36874774","0.0","368","5","false","馮軍","48.58662614","368","0","20","0.7146865","false","0","馮軍","575304040","0.01830255","ORG"
"11210","2.55415034","0.00555743","0.39151963","0.0","332","4","false","虞洽卿","113.1350211","332","0","30","0.74097494","false","0","虞洽卿","263222766","0.01704957","PERSON"
"11150","2.57712861","0.00510798","0.38802875","0.0","436","4","false","徐寄傾","98.77272727","436","0","44","0.73714523","false","0","徐寄傾","242216528","0.01522702","PERSON"
"10832","2.71686854","0.01020922","0.36807081","0.0","334","3","false","三德洋行","55.16027875","334","0","22","0.71385524","false","0","三德洋行","491042434","0.02079089","ORG"
"11102","2.58496616","0.00489566","0.38685226","0.0","336","4","false","陸文","112.90950226","336","0","32","0.73583897","false","0","陸文","236356416","0.01743139","PERSON"
"11215","2.50231564","0.00912471","0.39962984","0.0","362","4","false","杜月笙","98.58490566","362","0","40","0.74961406","false","0","杜月笙","296807130","0.0142668","PERSON"
"2403","2.73040613","0.00540606","0.36624588","0.0","252","4","false","市黨部","60.60280374","252","0","13","0.71159898","false","0","市黨部","268069482","0.02290653","ORG"
"6919","2.72880299","0.00745424","0.36646105","0.0","330","5","false","中國紅十字會","54.60851064","330","0","38","0.71186617","false","0","中國紅十字會","328554664","0.02062659","ORG"
