"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"674","2.72084063","0.01631442","0.36753347","0.0","116","4","false","袁履登","59.95061728","116","0","12","0.65583187","false","0","袁履登","10936160","0.03840431","PERSON"
"1652","2.91488616","0.01041434","0.34306657","0.0","113","4","false","曹慕管","43.57608696","113","0","10","0.61702277","false","0","曹慕管","6976544","0.03414281","PERSON"
"2746","2.75726795","0.0167866","0.36267785","0.0","177","3","false","永安公司","19.67153285","177","0","22","0.64854641","false","0","永安公司","16465526","0.04456213","ORG"
"2879","2.76637478","0.01917613","0.36148392","0.0","162","3","false","全國商會聯合會","15.46774194","162","0","14","0.64672504","false","0","全國商會聯合會","13869984","0.03452922","ORG"
"2914","2.67460595","0.06978173","0.37388685","0.0","286","4","false","廣肇公所","12.9496124","286","0","18","0.66507881","false","0","廣肇公所","53887202","0.02872503","ORG"
"2915","2.48336252","0.13754056","0.40267983","0.0","804","3","false","工部局","10.97916667","804","0","94","0.7033275","false","0","工部局","141698812","0.02381663","ORG"
"1866","2.72714536","0.01257345","0.36668379","0.0","122","4","false","徐乾麟","56.32941176","122","0","12","0.65457093","false","0","徐乾麟","9488670","0.0363531","PERSON"
"2833","2.76987741","0.0122526","0.36102681","0.0","142","4","false","寧波旅滬同鄕會","20.2295082","142","0","11","0.64602452","false","0","寧波旅滬同鄕會","13359756","0.04622478","ORG"
"2917","2.8056042","0.00979232","0.35642946","0.0","72","4","false","福和公司","15.43661972","72","0","1","0.63887916","false","0","福和公司","5305514","0.03470341","ORG"
"1698","2.62206655","0.02121369","0.38137857","0.0","151","4","false","方椒伯","55.76851852","151","0","12","0.67558669","false","0","方椒伯","17099476","0.03321317","PERSON"
"2807","2.79369527","0.00873327","0.35794885","0.0","94","4","false","聖約翰大學","19.5","94","0","4","0.64126095","false","0","聖約翰大學","9359444","0.04447115","ORG"
"2887","2.72994746","0.02945912","0.36630742","0.0","213","4","false","淸華大學","16.3575419","213","0","22","0.65401051","false","0","淸華大學","32554626","0.03691717","ORG"
"2858","2.44063047","0.17171911","0.4097302","0.0","980","3","false","上海總商會","9.70118846","980","0","101","0.71187391","false","0","上海總商會","157648452","0.02076656","ORG"
"2809","2.78809107","0.01254055","0.35866834","0.0","100","4","false","愛普廬","21.25","100","0","3","0.64238179","false","0","愛普廬","11302498","0.04867788","ORG"
"2922","2.76077058","0.01894601","0.36221771","0.0","157","4","false","紹興七縣同鄉會","16.65185185","157","0","12","0.64784588","false","0","紹興七縣同鄉會","17639488","0.03762464","ORG"
"2891","2.80210158","0.01986234","0.356875","0.0","77","3","false","上海總商會民治委員會","17.67123288","77","0","2","0.63957968","false","0","上海總商會民治委員會","6672008","0.03978815","ORG"
"2811","2.79649737","0.00721063","0.35759018","0.0","92","4","false","卡爾登","23.63095238","92","0","7","0.64070053","false","0","卡爾登","8913396","0.05440133","ORG"
"2924","2.79019264","0.0115121","0.35839819","0.0","94","4","false","安利洋行","17.53763441","94","0","1","0.64196147","false","0","安利洋行","10081376","0.03975393","ORG"
"2894","2.7558669","0.02003093","0.36286223","0.0","142","3","false","申新公司","13.35251799","142","0","2","0.64882662","false","0","申新公司","18587506","0.02948095","ORG"
"2895","2.70402802","0.04319687","0.36981865","0.0","239","3","false","江海關","13.87793427","239","0","12","0.6591944","false","0","江海關","38999802","0.03073493","ORG"
"2671","2.74255692","0.03443453","0.36462324","0.0","168","3","false","中央銀行","15.51265823","168","0","5","0.65148862","false","0","中央銀行","26084896","0.03463642","ORG"
"2672","2.8","0.01111367","0.35714286","0.0","137","3","false","上海伶界聯合","17.63157895","137","0","61","0.64","false","0","上海伶界聯合會","6932938","0.03969351","ORG"
"2788","2.74535902","0.08878697","0.36425108","0.0","158","4","false","新昌公司","4.65605096","158","0","1","0.6509282","false","0","新昌公司","5541318","0.00878858","ORG"
"2650","2.8","0.00674932","0.35714286","0.0","76","3","false","天津永利製鹼公司","17.89473684","76","0","0","0.64","false","0","天津永利製鹼公司","5613780","0.04032157","ORG"
"907","2.85814361","0.00811164","0.34987745","0.0","110","4","false","聞蘭亭","53.72972973","110","0","8","0.62837128","false","0","聞蘭亭","6942390","0.03917513","PERSON"
"2651","2.8028021","0.00530459","0.3567858","0.0","75","4","false","香港法公司","18.62666667","75","0","0","0.63943958","false","0","香港法公司","5481862","0.04237179","ORG"
"2652","2.8028021","0.00530459","0.3567858","0.0","75","4","false","號姜堰萃豐公司","18.62666667","75","0","0","0.63943958","false","0","號姜堰萃豐公司","5481862","0.04237179","ORG"
"1188","1.85499124","0.48300911","0.5390861","0.0","645","3","false","王曉籟","31.65227818","645","0","57","0.82900175","false","0","王曉籟","117025060","0.0125882","PERSON"
"2653","2.8028021","0.00530459","0.3567858","0.0","75","4","false","白華洋德律風有限公司","18.62666667","75","0","0","0.63943958","false","0","白華洋德律風有限公司","5481862","0.04237179","ORG"
"2850","2.80490368","0.00367565","0.35651848","0.0","82","4","false","復旦大學","28.08333333","82","0","8","0.63901926","false","0","復旦大學","4603418","0.06510417","ORG"
"2654","2.8056042","0.01143087","0.35642946","0.0","71","4","false","中興煤礦公司","18.43661972","71","0","0","0.63887916","false","0","中興煤礦公司","5488088","0.04191495","ORG"
