"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"345","2.8056042","0.01143087","0.35642946","0.0","71","4","false","中興煤礦公司","18.43661972","71","0","0","0.63887916","false","0","中興煤礦公司","5488088","0.04191495","ORG"
"94","2.80910683","0.00424691","0.35598504","0.0","64","3","false","中華書局","27.03174603","64","0","1","0.63817863","false","0","中華書局","4508176","0.06212827","ORG"
"149","2.80490368","0.00367565","0.35651848","0.0","82","4","false","復旦大學","28.08333333","82","0","8","0.63901926","false","0","復旦大學","4603418","0.06510417","ORG"
"346","2.8028021","0.00530459","0.3567858","0.0","75","4","false","白華洋德律風有限公司","18.62666667","75","0","0","0.63943958","false","0","白華洋德律風有限公司","5481862","0.04237179","ORG"
"96","2.81330998","0.00335661","0.35545319","0.0","66","4","false","招商局","24.36666667","66","0","3","0.637338","false","0","招商局","4123560","0.05616987","ORG"
"347","2.8028021","0.00530459","0.3567858","0.0","75","4","false","號姜堰萃豐公司","18.62666667","75","0","0","0.63943958","false","0","號姜堰萃豐公司","5481862","0.04237179","ORG"
"348","2.8028021","0.00530459","0.3567858","0.0","75","4","false","香港法公司","18.62666667","75","0","0","0.63943958","false","0","香港法公司","5481862","0.04237179","ORG"
"846","2.87215412","0.00547707","0.34817073","0.0","81","4","false","姚佐頓","57.43333333","81","0","7","0.62556918","false","0","姚佐頓","5099758","0.04211443","PERSON"
"2092","2.85814361","0.00811164","0.34987745","0.0","110","4","false","聞蘭亭","53.72972973","110","0","8","0.62837128","false","0","聞蘭亭","6942390","0.03917513","PERSON"
"349","2.8","0.00674932","0.35714286","0.0","76","3","false","天津永利製鹼公司","17.89473684","76","0","0","0.64","false","0","天津永利製鹼公司","5613780","0.04032157","ORG"
"153","2.81120841","0.01009389","0.35571891","0.0","82","4","false","閘北商會","20.84126984","82","0","14","0.63775832","false","0","閘北商會","4533098","0.04769536","ORG"
"211","2.74535902","0.08878697","0.36425108","0.0","158","4","false","新昌公司","4.65605096","158","0","1","0.6509282","false","0","新昌公司","5541318","0.00878858","ORG"
"104","2.70402802","0.04319687","0.36981865","0.0","239","3","false","江海關","13.87793427","239","0","12","0.6591944","false","0","江海關","38999802","0.03073493","ORG"
"105","2.7558669","0.02003093","0.36286223","0.0","142","3","false","申新公司","13.35251799","142","0","2","0.64882662","false","0","申新公司","18587506","0.02948095","ORG"
"532","2.79789842","0.00741523","0.35741112","0.0","100","4","false","勞敬","62.8358209","100","0","7","0.64042032","false","0","勞敬","6953812","0.04297138","PERSON"
"419","2.81260946","0.03865263","0.35554172","0.0","61","4","false","浙閩蘇皖贛聯軍","9.1147541","61","0","0","0.63747811","false","0","浙閩蘇皖贛聯軍","2201566","0.01950662","ORG"
