"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"681","3.967E-5","0.29154672","3","應佩","false","應佩","PERSON"
"682","0.0","0.31283347","1","慶萱","false","慶萱","PERSON"
"683","4.885E-4","0.31728852","7","慶吳","false","慶吳","PERSON"
"684","0.0","0.26914714","1","慶代","false","慶代","PERSON"
"685","1.355E-5","0.27622118","3","慰蘇","false","慰蘇","PERSON"
"686","3.446E-5","0.28942582","5","惠臨","false","惠臨","PERSON"
"687","6.41E-6","0.27940808","3","恭為","false","恭為","PERSON"
"688","3.3657E-4","0.33263661","3","念元","false","念元","PERSON"
"689","2.884E-5","0.27594749","6","忠信","false","忠信","PERSON"
"690","0.0","0.27512966","1","志剛","false","志剛","PERSON"
"691","1.0111E-4","0.31584916","4","忍堂","false","忍堂","PERSON"
"692","1.0111E-4","0.31584916","4","德配黃","false","德配黃","PERSON"
"693","2.793E-5","0.28927551","4","從廉","false","從廉","PERSON"
"694","2.31E-5","0.31371445","3","徐釆丞","false","徐釆丞","PERSON"
"695","0.0","0.27635822","1","徐訐","false","徐訐","PERSON"
"696","0.0","0.27006061","1","徐琴芳","false","徐琴芳","PERSON"
"697","6.6099E-4","0.33544113","9","徐濟華","false","徐濟華","PERSON"
"698","3.374E-5","0.31389124","4","徐潤生","false","徐潤生","PERSON"
"699","8.54E-6","0.27870903","3","徐湛","false","徐湛","PERSON"
"700","1.7316E-4","0.28644896","8","徐景","false","徐景","PERSON"
"701","0.0","0.31283347","1","徐新六","false","徐新六","PERSON"
"702","8.54E-6","0.27870903","3","徐恩","false","徐恩","PERSON"
"703","1.444E-5","0.27884856","3","徐德福","false","徐德福","PERSON"
"704","0.00528244","0.34845167","34","徐寄傾","false","徐寄傾","PERSON"
"705","2.31E-5","0.31371445","3","徐大統","false","徐大統","PERSON"
"706","4.195E-5","0.2907857","4","張驥","false","張驥","PERSON"
"707","3.275E-5","0.28454662","2","張際","false","張際","PERSON"
"708","2.31E-5","0.31371445","3","張鏡湖","false","張鏡湖","PERSON"
"709","3.491E-5","0.27649541","5","張鏡","false","張鏡","PERSON"
"710","2.31E-5","0.31371445","3","張起","false","張起","PERSON"
"711","6.41E-6","0.27940808","3","張蘊","false","張蘊","PERSON"
"712","2.31E-5","0.31371445","3","張翼","false","張翼","PERSON"
"713","8.54E-6","0.27870903","3","張羣","false","張羣","PERSON"
"714","1.311E-4","0.31692745","3","張竹平","false","張竹平","PERSON"
"715","3.374E-5","0.31389124","4","張益","false","張益","PERSON"
"716","3.562E-5","0.28081674","2","張申","false","張申","PERSON"
"717","1.6E-7","0.27032274","3","張瀾","false","張瀾","PERSON"
