"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"1017","3.82276708","0.0","0.26159062","0.0","1","5","false","萬印樓","46.0","1","0","0","0.43544658","false","0","萬印樓","0","0.0","PERSON"
"1018","3.83257443","2.0E-8","0.26092122","0.0","3","5","false","禱虞","30.0","3","0","0","0.43348511","false","0","禱虞","6","1.0","PERSON"
"1019","3.44448336","9.192E-5","0.2903193","0.0","4","4","false","禮敦","158.5","4","0","0","0.51110333","false","0","禮敦","53320","0.27202073","PERSON"
"1020","3.74500876","0.0","0.26702207","0.0","1","5","false","禧候","157.0","1","0","0","0.45099825","false","0","禧候","0","0.0","PERSON"
"1021","3.78563923","1.16E-6","0.26415618","0.0","4","5","false","福祺","44.25","4","0","0","0.44287215","false","0","福祺","426","0.45526316","PERSON"
"1022","3.74781086","4.12E-6","0.26682243","0.0","5","5","false","福生","71.2","5","0","0","0.45043783","false","0","福生","6936","0.47432432","PERSON"
"1023","3.73870403","2.34E-6","0.26747236","0.0","6","4","false","福源德記","67.16666667","6","0","0","0.45225919","false","0","福源德記","1150","0.42144374","PERSON"
"1024","3.7267951","2.35E-6","0.26832707","0.0","5","5","false","福泰二","73.2","5","0","0","0.45464098","false","0","福泰二","3284","0.40561798","PERSON"
"1025","3.48301226","0.0","0.2871078","0.0","1","4","false","福泉","528.0","1","0","0","0.50339755","false","0","福泉","0","0.0","PERSON"
"1026","3.79754816","3.49E-6","0.2633278","0.0","7","4","false","福民","26.71428571","7","0","0","0.44049037","false","0","福民","690","0.35714286","PERSON"
"1027","3.4704028","3.888E-5","0.28815099","0.0","9","4","false","福同","80.44444444","9","0","0","0.50591944","false","0","福同","16646","0.14794124","PERSON"
"1028","3.85008757","4.0E-8","0.25973435","0.0","2","5","false","禁陸","6.0","2","0","0","0.42998249","false","0","禁陸","2","1.0","PERSON"
"1029","3.72539405","3.01E-6","0.26842798","0.0","7","5","false","票方","59.0","7","0","0","0.45492119","false","0","票方","1722","0.3258427","PERSON"
"1030","3.43257443","1.423E-5","0.29132653","0.0","6","4","false","祥鄭","131.33333333","6","0","0","0.51348511","false","0","祥鄭","11754","0.21941639","PERSON"
"1031","3.79754816","3.49E-6","0.2633278","0.0","7","4","false","祥臻","26.71428571","7","0","0","0.44049037","false","0","祥臻","690","0.35714286","PERSON"
"1032","3.80525394","1.0E-8","0.26279455","0.0","3","5","false","祥生","69.0","3","0","0","0.43894921","false","0","祥生","6","1.0","PERSON"
"1033","3.70297723","1.08E-6","0.27005297","0.0","2","4","false","祥浩","122.5","2","0","0","0.45940455","false","0","祥浩","376","0.57311321","PERSON"
"1034","3.81295972","7.4E-7","0.26226346","0.0","6","5","false","祥定","35.83333333","6","0","0","0.43740806","false","0","祥定","260","0.64506173","PERSON"
"1035","3.23362522","1.7263E-4","0.30925043","0.0","13","4","false","祝蘭芳","113.92307692","13","0","0","0.55327496","false","0","祝蘭芳","291454","0.12964762","PERSON"
"1036","3.44028021","0.0","0.290674","0.0","1","4","false","祝蘭舫","589.0","1","0","0","0.51194396","false","0","祝蘭舫","0","0.0","PERSON"
"1037","2.92189142","0.00262339","0.34224407","0.0","35","4","false","祝蘭","93.94285714","35","0","0","0.61562172","false","0","祝蘭","3667878","0.07182601","PERSON"
"1038","3.83257443","3.0E-8","0.26092122","0.0","3","4","false","祝紹","27.0","3","0","0","0.43348511","false","0","祝紹","6","1.0","PERSON"
"1039","3.83117338","1.0E-8","0.26101664","0.0","2","5","false","祝星","33.0","2","0","0","0.43376532","false","0","祝星","2","1.0","PERSON"
"1040","3.43747811","4.197E-5","0.29091094","0.0","5","4","false","祝徐","122.6","5","0","0","0.51250438","false","0","祝徐","4828","0.20680272","PERSON"
"1041","3.79544658","2.46E-6","0.26347361","0.0","13","4","false","祝廷玉","39.15384615","13","0","0","0.44091068","false","0","祝廷玉","1800","0.55295429","PERSON"
"1042","3.36392294","9.461E-5","0.29727197","0.0","4","4","false","祝大椿","195.25","4","0","0","0.52721541","false","0","祝大椿","108782","0.27989914","PERSON"
"1043","3.81225919","0.0","0.26231165","0.0","1","5","false","祖陸","61.0","1","0","0","0.43754816","false","0","祖陸","0","0.0","PERSON"
"1044","3.74500876","0.0","0.26702207","0.0","1","5","false","祖謙","157.0","1","0","0","0.45099825","false","0","祖謙","0","0.0","PERSON"
"1045","3.74500876","0.0","0.26702207","0.0","1","5","false","祖衡","157.0","1","0","0","0.45099825","false","0","祖衡","0","0.0","PERSON"
"1046","3.84028021","4.0E-8","0.26039767","0.0","3","5","false","祖權","19.0","3","0","0","0.43194396","false","0","祖權","6","1.0","PERSON"
"1047","3.19369527","3.0392E-4","0.31311691","0.0","12","4","false","祈原","131.08333333","12","0","0","0.56126095","false","0","祈原","455104","0.14002512","PERSON"
"1048","3.79404553","3.68E-6","0.2635709","0.0","15","4","false","礪卿","38.6","15","0","0","0.44119089","false","0","礪卿","3374","0.54492754","PERSON"
"1049","3.2441331","6.816E-5","0.30824876","0.0","5","4","false","砂田","251.0","5","0","0","0.55117338","false","0","砂田","191564","0.28935185","PERSON"
"1050","3.0619965","0.00213284","0.32658431","0.0","21","4","false","石運","109.80952381","21","0","0","0.5876007","false","0","石運","2341158","0.09820354","PERSON"
"1051","3.71208406","6.32E-6","0.26939045","0.0","6","4","false","石補","91.83333333","6","0","0","0.45758319","false","0","石補","7580","0.46581197","PERSON"
"1052","3.79964974","0.0","0.26318215","0.0","1","4","false","石蓀","76.0","1","0","0","0.44007005","false","0","石蓀","0","0.0","PERSON"
"1053","2.98003503","0.00376169","0.33556653","0.0","46","4","false","石芝坤","67.95652174","46","0","0","0.60399299","false","0","石芝坤","3725886","0.0557971","PERSON"
"1054","3.45008757","2.273E-5","0.28984772","0.0","4","4","false","石芝","176.5","4","0","0","0.50998249","false","0","石芝","34662","0.30735552","PERSON"
"1055","3.82837128","1.2E-7","0.26120769","0.0","2","5","false","石石","27.5","2","0","0","0.43432574","false","0","石石","40","0.73611111","PERSON"
"1056","3.79964974","0.0","0.26318215","0.0","1","4","false","石劉","76.0","1","0","0","0.44007005","false","0","石劉","0","0.0","PERSON"
"1057","3.23292469","1.8991E-4","0.30931744","0.0","8","4","false","矢田","168.125","8","0","0","0.55341506","false","0","矢田","297014","0.19056442","PERSON"
