id,Type,mc5Degree,mc5Degree_norm,mc5Eig,mc5Betw,mc5Close
朱家驊,PERSON,18,0.0018083182640144665,0.009135569684605117,1517.62646655078,2.879272120008062e-5
黃紹竑,PERSON,12,0.0012055455093429777,0.007106165954722299,619.5764293967909,2.8624588521540003e-5
南京中央研究院,ORG,4,4.018485031143259e-4,0.012338430179558059,1268.441614437606,3.793626707132018e-5
浙江省政府,ORG,51,0.005123568414707656,0.03761847159485159,50937.35387683019,3.8083631655114635e-5
行政院,ORG,207,0.020795660036166366,0.095963481985196,400005.05000288895,3.858917959404183e-5
杭州省政府,ORG,4,4.018485031143259e-4,0.01233843017955806,1268.441614437606,3.793626707132018e-5
湖北省政府,ORG,4,4.018485031143259e-4,0.01233843017955806,1268.441614437606,3.793626707132018e-5
季寬,PERSON,6,6.027727546714888e-4,0.003199747964684171,219.41115930654172,2.8303755908409045e-5
中央,ORG,283,0.02843078159533856,0.09377640510618987,585406.878842835,3.8844002486016156e-05
上海難民救濟協會,ORG,413,0.04149085794655415,0.09383745745558558,1576717.0233999921,3.92187622558632e-5
麥克諾登,PERSON,198,0.019891500904159132,0.07180228679927823,88990.37760313741,3.215330696762162e-5
振委會,ORG,5,5.023106288929073e-4,0.013580556388975191,1678.822229493113,3.793914561044085e-5
振濟委員會,ORG,10,0.0010046212577858146,0.02271597651982539,3557.60488027269,3.7953544861090024e-5
賜鑒,PERSON,3,3.013863773357444e-4,0.0015750282678529423,60.21558444338208,2.8211132112731685e-5
蘇浙路債,ORG,6,6.027727546714888e-4,0.012276967819769329,5136.343904446568,3.7947783849423196e-5
鐵部,ORG,6,6.027727546714888e-4,0.012276967819769322,5136.343904446568,3.7947783849423196e-5
鐵道部,ORG,34,0.00341571227647177,0.03216070597973727,31076.094986553264,3.8034383082306405e-5
南京鐵道部,ORG,6,6.027727546714888e-4,0.01227696781976933,5136.343904446568,3.7947783849423196e-5
勛鑒,PERSON,8,8.036970062286518e-4,0.0020643553539682973,123.4440395911395,2.7764666685176446e-5
楊起澄,PERSON,6,6.027727546714888e-4,0.0018501903718026126,59.11631843536064,2.780017236106864e-5
嚴仲琳,PERSON,6,6.027727546714888e-4,0.001850190371802612,59.11631843536064,2.780017236106864e-5
王淮德,PERSON,4,4.018485031143259e-4,8.35014240375622e-4,5.61921462038703,2.7594580424404646e-5
三北旅滬,ORG,2,2.0092425155716296e-4,0.012169969940151756,339.60184477092037,3.793051130329237e-5
桑梓食糧委員會,ORG,2,2.0092425155716296e-4,0.012169969940151756,339.60184477092037,3.793051130329237e-5
沈維挺,PERSON,14,0.0014064697609001407,0.005522747274558443,1481.11070959422,2.8966196448744316e-5
航業公會,ORG,42,0.004219409282700422,0.03231628440378813,37110.77780603995,3.806043997868615e-5
烟兌業公會,ORG,2,2.0092425155716296e-4,0.012169969940151749,339.60184477092037,3.793051130329237e-5
華成公司,ORG,15,0.0015069318866787222,0.023147048584261927,4789.630878944041,3.79794910748196e-5
大成公司,ORG,2,2.0092425155716296e-4,0.012169969940151754,339.60184477092037,3.793051130329237e-5
記烟草行,ORG,2,2.0092425155716296e-4,0.012169969940151754,339.60184477092037,3.793051130329237e-5
寗波路烟兌業公會,ORG,2,2.0092425155716296e-4,0.01216996994015176,339.60184477092037,3.793051130329237e-5
寗波旅滬同鄉會,ORG,163,0.01637532650190878,0.04883398390868019,376366.0171512755,3.844970778222086e-5
鄔挺生,PERSON,7,7.032348804500703e-4,0.0040066966000594974,411.90377335573834,2.8390540271981376e-5
豫省府,ORG,6,6.027727546714888e-4,0.012530554854504548,2550.5174259608016,3.7942024586431934e-5
省政府,ORG,17,0.001707856138235885,0.028320437060969,4102.230427188767,3.79794910748196e-5
蔣中正,PERSON,8,8.036970062286518e-4,0.004243247474755963,592.5564697488493,2.844221963081999e-5
洋莊茶業同業公會,ORG,1,1.0046212577858148e-4,0.01210312742614538,0,3.792763407418645e-5
上海市商會,ORG,180,0.018083182640144666,0.09870324238173128,291492.6741794385,3.851190017715474e-5
市政府,ORG,252,0.02531645569620253,0.11879539965322433,324809.24240848597,3.875668552825362e-5
新聲社,ORG,254,0.025517379947759693,0.10472352920130777,545999.8280120192,3.87807337314822e-5
機製煤球公會,ORG,8,8.036970062286518e-4,0.01507933946258244,2911.148074688122,3.7956426022925684e-5
工部局,ORG,732,0.07353827606992164,0.15865029536569275,2597422.807129431,4.0260890570899426e-5
上海平賣煤球委員會,ORG,8,8.036970062286518e-4,0.015079339462582442,2911.148074688122,3.7956426022925684e-5
徐寄廎,PERSON,462,0.046413502109704644,0.20389149363409198,453101.7961998414,3.514320857494289e-5
嚴鍔聲,PERSON,13,0.0013060076351215592,0.01028766202253293,2854.775852833622,2.9787614309969916e-5
魏志大,PERSON,11,0.0011050833835643962,0.006963770013782291,1076.3907757538143,2.9390154298310065e-5
鮑哲薌,PERSON,11,0.0011050833835643962,0.006963770013782294,1076.3907757538143,2.9390154298310065e-5
陸麒生,PERSON,4,4.018485031143259e-4,0.003479796994961864,242.17286721009495,2.8919286272014807e-5
允春欣,PERSON,4,4.018485031143259e-4,0.003479796994961865,242.17286721009495,2.8919286272014807e-5
陳萃芳,PERSON,26,0.0026120152702431183,0.010838089553341817,3431.047506751282,2.950113579372806e-5
上海市救護事業恊進會,ORG,11,0.0011050833835643962,0.027248805492255498,2693.6881455885637,3.795930762222897e-5
陶百川,PERSON,45,0.0045207956600361665,0.027897137120578466,4257.803105878316,2.9398794649419375e-5
龐京周,PERSON,50,0.005023106288929074,0.02741392353231415,6649.998318710167,2.9405710588996384e-5
黃任之,PERSON,74,0.007434197307615029,0.04464982770318894,21245.08712067584,3.100486776423899e-5
許曉初,PERSON,308,0.030942334739803096,0.1456055482159086,307383.9126865739,3.482985615269409e-5
事會,ORG,32,0.0032147880249146074,0.04837956296269276,23355.167174449605,3.808073115003808e-5
杜月笙,PERSON,816,0.08197709463532249,0.35121851150703304,1384133.3914779779,3.847189627976763e-5
王曉籟,PERSON,792,0.07956600361663653,0.3490180490918957,1159710.307316769,3.807928106317353e-5
錢新之,PERSON,349,0.03506128189672494,0.18218731365836782,276141.8410467003,3.4252440486384655e-5
張慰如,PERSON,41,0.0041189471569218405,0.029404106296839573,8670.576932987065,3.019414837404511e-5
周邦俊,PERSON,196,0.01969057665260197,0.09236602949535849,143464.38588433922,3.315320094155091e-5
財務委員會,ORG,97,0.009744826200522402,0.058638180208457555,73309.7213902289,3.8261401897765534e-5
王撥生,PERSON,3,3.013863773357444e-4,0.0016250451475419514,4.8346690045339145,2.7760042195264137e-5
袁履登,PERSON,1305,0.13110307414104883,0.45801621887225197,3463237.914303387,4.2217249968337064e-5
寗波同鄉會,ORG,126,0.012658227848101266,0.07773700146109515,224463.89460347104,3.834355828220859e-5
烏崖琴,PERSON,69,0.006931886678722122,0.027864157590839406,21696.183026078754,3.020874241005347e-5
方椒伯,PERSON,288,0.028933092224231464,0.13128916611580388,306831.27668939304,3.506434306953259e-5
洪賢舫,PERSON,1,1.0046212577858148e-4,9.408608344100841e-4,0,2.775233813448783e-5
陳良玉,PERSON,42,0.004219409282700422,0.018642587333565018,16078.512462487317,2.9862334637321945e-5
邵達人,PERSON,26,0.0026120152702431183,0.013477475084906392,789.521153123873,2.8551034975017845e-5
陳熙,PERSON,1,1.0046212577858148e-4,0.0016395321438240674,0,2.811911256080758e-5
范更新,PERSON,1,1.0046212577858148e-4,0.0016395321438240683,0,2.811911256080758e-5
唐佩琳,PERSON,1,1.0046212577858148e-4,0.0016395321438240674,0,2.811911256080758e-5
虞仲咸,PERSON,1,1.0046212577858148e-4,0.0016395321438240683,0,2.811911256080758e-5
劉仲英,PERSON,80,0.008036970062286517,0.04586040418048838,32150.662733176647,3.1600568810238584e-5
陳菊生,PERSON,15,0.0015069318866787222,0.006722828117292161,911.8373358625968,2.8741413502716065e-5
莊鑄九,PERSON,1,1.0046212577858148e-4,0.0016395321438240679,0,2.811911256080758e-5
尹致中,PERSON,1,1.0046212577858148e-4,0.0016395321438240676,0,2.811911256080758e-5
沈亦飛,PERSON,1,1.0046212577858148e-4,0.0016395321438240676,0,2.811911256080758e-5
王介安,PERSON,9,9.041591320072332e-4,0.0059073030494132496,585.4091302832708,2.8590216427938358e-5
方劍閣,PERSON,46,0.004621257785814748,0.02208190358807092,3476.3861503419366,2.8929325657418926e-5
徐慶華,PERSON,1,1.0046212577858148e-4,0.0016395321438240685,0,2.811911256080758e-5
張一塵,PERSON,103,0.010347598955193892,0.05250652497999678,33573.97583410521,3.122755519470381e-5
胡鳳翔,PERSON,20,0.0020092425155716293,0.013250901646162074,2760.7556275721486,2.96217305014959e-5
徐絨若,PERSON,3,3.013863773357444e-4,0.002579594339158617,17.78286092833792,2.8185687307985006e-5
葉友才,PERSON,36,0.003616636528028933,0.01910632849076795,422.5354358057885,2.832139114673313e-5
