id,Type,mc2Degree,mc2Degree_norm,mc2Eig,mc2Betw,mc2Close
華商體操會,ORG,106,0.04455653635981505,0.09128025393573105,62147.91463390505,1.5878056525881233e-4
華商體操,ORG,2,8.406893652795292e-4,0.03310959610774936,114.2218872474378,1.5328019619865113e-4
憲瑞,PERSON,13,0.00546448087431694,0.024516479997169886,2190.58025705585,1.2363996043521266e-4
鄭麒剛,PERSON,3,0.0012610340479192938,0.00654376280713237,91.87779643092281,1.160092807424594e-4
劉雲輝,PERSON,1,4.203446826397646e-4,0.0010614015401736773,0,1.1243534967393749e-4
湖府,ORG,6,0.0025220680958385876,0.032843148139393825,8103.418645134043,1.534683855125844e-4
爲麒剛,PERSON,1,4.203446826397646e-4,0.001061401540173677,0,1.1243534967393749e-4
夏守,PERSON,3,0.0012610340479192938,0.006543762807132369,91.87779643092281,1.160092807424594e-4
夏太尊,PERSON,1,4.203446826397646e-4,0.0010614015401736786,0,1.1243534967393749e-4
君鑒,PERSON,5,0.002101723413198823,0.0063952216556381015,59.19626739048837,1.1510128913443831e-4
俞宗周,PERSON,8,0.003362757461118117,0.012884966709439002,22.363394428142154,1.1325028312570782e-4
王清夫,PERSON,15,0.006305170239596469,0.02274446399849811,470.04533487890393,1.152073732718894e-4
浙路保存會,ORG,15,0.006305170239596469,0.06645492075675101,12982.19769105353,1.5432098765432098e-4
景本白,PERSON,1,4.203446826397646e-4,0.002147642940438203,0,1.1289230074508918e-4
周金箴,PERSON,143,0.060109289617486336,0.3320403378122331,84385.49253796632,1.482799525504152e-4
嚴子均,PERSON,40,0.016813787305590584,0.07812462233777298,7449.527314132917,1.2330456226880394e-4
方樵苓,PERSON,13,0.00546448087431694,0.023281769778278397,650.5003679525994,1.1625203441060219e-4
李覲丹,PERSON,1,4.203446826397646e-4,0.0021476429404382043,0,1.1289230074508918e-4
李雲書,PERSON,79,0.0332072299285414,0.20783531448352635,31383.7346982137,1.3469827586206896e-4
李詠棠,PERSON,1,4.203446826397646e-4,0.002147642940438204,0,1.1289230074508918e-4
方樵譽,PERSON,1,4.203446826397646e-4,0.0021476429404382025,0,1.1289230074508918e-4
樊時勛,PERSON,29,0.012189995796553174,0.06625483672937692,6011.580221716306,1.2655024044545685e-4
陳子琴,PERSON,46,0.019335855401429174,0.09841199411662978,6481.308805933225,1.2376237623762376e-4
葉叉新,PERSON,1,4.203446826397646e-4,0.002147642940438204,0,1.1289230074508918e-4
