id,Type,mc4Degree,mc4Degree_norm,mc4Eig,mc4Betw,mc4Close
國立上海商學院,ORG,16,0.001271051795360661,0.029267251062928712,17002.17176231512,3.0301193867038363e-5
徐佩琨,PERSON,7,5.560851604702892e-4,0.003198041553727501,78.10162120033846,2.2356860202553154e-5
王曉籟,PERSON,1726,0.1371147124245313,0.5536395648811242,4559599.45444295,3.429472890016804e-5
錢新之,PERSON,364,0.028916428344455035,0.16927160754828083,355337.9029514098,2.835672763363108e-5
惠鑒,PERSON,2,1.5888147442008263e-4,4.5091722208460755e-4,0.1663847574156406,2.193607826792726e-5
上海商學院,ORG,7,5.560851604702892e-4,0.017167403212528985,10765.404486394336,3.0260848514192338e-5
王孝籟,PERSON,2,1.5888147442008263e-4,4.509172220846079e-4,0.1663847574156406,2.193607826792726e-5
錢永銘,PERSON,96,0.0076263107721639654,0.04085762887858986,31745.370287956528,2.4933303413369238e-5
嚴鴻祥,PERSON,8,6.355258976803305e-4,0.006618859896328802,1065.1674599966288,2.318733044264614e-5
范公良,PERSON,19,0.0015093740069907849,0.008635063015587327,5042.173261198564,2.3358482632968163e-5
上北輪埠公司,ORG,5,3.9720368605020655e-4,0.011215092094741917,3492.7024203830038,3.022061045633122e-5
虞公,PERSON,2,1.5888147442008263e-4,6.766662914350459e-4,11.905645302327756,2.2115576000176925e-5
吳鐵城,PERSON,294,0.023355576739752144,0.13897966611850865,206296.2734505073,2.74310794129749e-5
三北公司,ORG,193,0.015332062281537972,0.05846680019888794,456605.1463807694,3.064476587398872e-5
工部局,ORG,723,0.05743565300285987,0.1839262376106329,2320050.195948382,3.167564143173899e-5
李馥蓀,PERSON,368,0.0292341912932952,0.16229676557908485,319162.5738975609,2.8096990812284005e-5
貝淞孫,PERSON,113,0.008976803304734668,0.04929738366474234,35766.926885145534,2.535561246481909e-5
黃明道,PERSON,38,0.0030187480139815697,0.019235378171389945,3352.18578378928,2.3618885660974514e-5
秦潤卿,PERSON,639,0.050762631077216396,0.2604741354759213,728424.9721510088,2.956917708980159e-5
袁履登,PERSON,1132,0.08992691452176677,0.3528296748621369,2605341.9842923963,3.2124385621125e-5
徐慶雲,PERSON,89,0.007070225611693677,0.05009101938306918,48715.66043148871,2.5514760288827087e-5
何德奎,PERSON,126,0.010009532888465206,0.0668110490203436,41754.97145804413,2.564168312008e-5
工部,ORG,101,0.008023514458214172,0.05109761526108474,154223.07526213123,3.046365685736916e-5
趙晋卿,PERSON,357,0.028360343183984747,0.15670380893976618,298637.0096904988,2.7882336539802036e-5
