"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","羅忠堯","62.0","3","0","0","0.65436637","false","0","羅忠堯","5002","0.57009346","PERSON"
"3.20172973","0.0040812","0.31233117","0.0","39","7","false","務部","17.61538462","39","0","0","0.75536336","false","0","務部","10032868","0.0291498","ORG"
"3.83654054","0.0","0.26065149","0.0","1","7","false","金維泉","188.0","1","0","0","0.68482883","false","0","金維泉","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","繆國璋","62.0","3","0","0","0.65436637","false","0","繆國璋","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","施子香","188.0","1","0","0","0.68482883","false","0","施子香","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","陸樹藩","62.0","3","0","0","0.65436637","false","0","陸樹藩","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","黄春圃","188.0","1","0","0","0.68482883","false","0","黄春圃","0","0.0","PERSON"
"4.15481081","3.0E-6","0.24068485","0.0","5","7","false","沈松茂","19.2","5","0","0","0.64946547","false","0","沈松茂","64664","0.79130435","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","王崇烈","62.0","3","0","0","0.65436637","false","0","王崇烈","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","潘祖謙","188.0","1","0","0","0.68482883","false","0","潘祖謙","0","0.0","PERSON"
"4.15481081","3.0E-6","0.24068485","0.0","5","7","false","景三","19.2","5","0","0","0.64946547","false","0","景三","64664","0.79130435","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","劉更","62.0","3","0","0","0.65436637","false","0","劉更","5002","0.57009346","PERSON"
"4.15481081","3.0E-6","0.24068485","0.0","5","7","false","張賽啓","19.2","5","0","0","0.64946547","false","0","張賽啓","64664","0.79130435","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","倪順寳","188.0","1","0","0","0.68482883","false","0","倪順寳","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","李常度","62.0","3","0","0","0.65436637","false","0","李常度","5002","0.57009346","PERSON"
"4.15481081","3.0E-6","0.24068485","0.0","5","7","false","眞正超","19.2","5","0","0","0.64946547","false","0","眞正超","64664","0.79130435","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","宗振","62.0","3","0","0","0.65436637","false","0","宗振","5002","0.57009346","PERSON"
"4.15481081","3.0E-6","0.24068485","0.0","5","7","false","啓　甲５９３","19.2","5","0","0","0.64946547","false","0","啓　甲５９３","64664","0.79130435","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","郁庚","188.0","1","0","0","0.68482883","false","0","郁庚","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","胡瀠","62.0","3","0","0","0.65436637","false","0","胡瀠","5002","0.57009346","PERSON"
"3.14378378","7.1679E-4","0.31808803","0.0","44","7","false","慈邑","54.04545455","44","0","0","0.7618018","false","0","慈邑","11935632","0.08446728","ORG"
"3.83654054","0.0","0.26065149","0.0","1","7","false","張雲","188.0","1","0","0","0.68482883","false","0","張雲","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","楊奎儒","62.0","3","0","0","0.65436637","false","0","楊奎儒","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","戴守誠","188.0","1","0","0","0.68482883","false","0","戴守誠","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","沈瑶慶","62.0","3","0","0","0.65436637","false","0","沈瑶慶","5002","0.57009346","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","林謀昌","62.0","3","0","0","0.65436637","false","0","林謀昌","5002","0.57009346","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","張傳綸","62.0","3","0","0","0.65436637","false","0","張傳綸","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","姚廉泉","188.0","1","0","0","0.68482883","false","0","姚廉泉","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","裴祖澤","62.0","3","0","0","0.65436637","false","0","裴祖澤","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","邱稼","188.0","1","0","0","0.68482883","false","0","邱稼","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","葛維森","62.0","3","0","0","0.65436637","false","0","葛維森","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","張順松","188.0","1","0","0","0.68482883","false","0","張順松","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","李丙吉","62.0","3","0","0","0.65436637","false","0","李丙吉","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","嚴雨辰","188.0","1","0","0","0.68482883","false","0","嚴雨辰","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","楊蔭桐","62.0","3","0","0","0.65436637","false","0","楊蔭桐","5002","0.57009346","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","吳丕球","62.0","3","0","0","0.65436637","false","0","吳丕球","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","周禹亭","188.0","1","0","0","0.68482883","false","0","周禹亭","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","許春榮","188.0","1","0","0","0.68482883","false","0","許春榮","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","吳筠孫","62.0","3","0","0","0.65436637","false","0","吳筠孫","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","邵松峯","188.0","1","0","0","0.68482883","false","0","邵松峯","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","朱家寳","62.0","3","0","0","0.65436637","false","0","朱家寳","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","翁秉鈞","188.0","1","0","0","0.68482883","false","0","翁秉鈞","0","0.0","PERSON"
