id,Type,mc5Degree,mc5Degree_norm,mc5Eig,mc5Betw,mc5Close
地院,ORG,9,0.002860775588048315,0.05738144787129591,6277.000000000002,4.6880127513946835e-5
滬東稽查所,ORG,9,0.002860775588048315,0.05738144787129591,6277.000000000002,4.6880127513946835e-5
翁蔡氏,PERSON,4,0.0012714558169103624,0.012015537171137161,0.6666666666666666,4.086636697997548e-5
朱佩珍 ·,PERSON,4,0.0012714558169103624,0.012015537171137156,0.6666666666666666,4.086636697997548e-5
許慧珍,PERSON,4,0.0012714558169103624,0.012015537171137156,0.6666666666666666,4.086636697997548e-5
楊邵氏,PERSON,4,0.0012714558169103624,0.012015537171137156,0.6666666666666666,4.086636697997548e-5
翁梅郎,PERSON,4,0.0012714558169103624,0.012015537171137156,0.6666666666666666,4.086636697997548e-5
許向榮,PERSON,4,0.0012714558169103624,0.012015537171137158,0.6666666666666666,4.086636697997548e-5
申聯中學,ORG,9,0.002860775588048315,0.05738144787129591,6277.000000000002,4.6880127513946835e-5
稽查所,ORG,9,0.002860775588048315,0.05738144787129591,6277.000000000002,4.6880127513946835e-5
朱佩珍,PERSON,68,0.02161474888747616,1,1028033.7269140558,5.49390176903637e-5
沈天保,PERSON,4,0.0012714558169103624,0.012015537171137148,0.6666666666666666,4.086636697997548e-5
朱佩珍·許慧珍,PERSON,4,0.0012714558169103624,0.01201553717113715,0.6666666666666666,4.086636697997548e-5
上海市商會,ORG,9,0.002860775588048315,3.246407489049634e-4,25657.66100104791,4.258399693395222e-5
法公董局,ORG,5,0.001589319771137953,4.4806353271274665e-4,25280.92108297654,4.241061961915263e-5
朱子奎,PERSON,10,0.003178639542275906,0.004377455901507608,113803.3607758143,4.889497359671426e-5
朱係三,PERSON,4,0.0012714558169103624,0.004108256004018004,7051.12323415933,4.3144361032013115e-5
市政府,ORG,13,0.004132231404958678,0.0771411085354183,75404.82935908905,4.986287708800798e-5
市政,ORG,2,6.357279084551812e-4,4.4422191582328896e-4,176.4210829768355,4.238186056367875e-5
市工務局,ORG,2,6.357279084551812e-4,4.442219158232861e-4,176.4210829768355,4.238186056367875e-5
紅軍,ORG,2,6.357279084551812e-4,2.1236180120802825e-9,0.125,2.658089896600303e-5
傳勒斯,PERSON,6,0.0019071837253655435,2.4461388189349126e-5,5234.999999999809,3.74335554390956e-5
中日實業銀行,ORG,11,0.0034965034965034965,8.916115497591609e-5,18851.25,3.5249744439352814e-5
民盟,ORG,3,9.535918626827717e-4,1.7416980236793241e-6,7811.810147794933,3.4408010184771016e-5
葉篤義,PERSON,2,6.357279084551812e-4,9.142739726697066e-8,3145,3.1050114885425076e-5
新華日報辦事處,ORG,1,3.178639542275906e-4,4.786169228371077e-9,0,2.8287742920992336e-5
敎部,ORG,2,6.357279084551812e-4,2.031344385806214e-7,0.16666666666666666,2.9165572957680754e-5
工部局,ORG,51,0.01621106166560712,6.020153165997348e-4,380094.66853898246,5.3725890506635145e-5
馮炳南,PERSON,1,3.178639542275906e-4,3.1515139834221654e-5,0,4.596010662744738e-5
吴君之,PERSON,1,3.178639542275906e-4,3.151513983422317e-5,0,4.596010662744738e-5
上海市政府,ORG,5,0.001589319771137953,6.25421448427726e-5,52.52511445205814,4.629843974258068e-5
海軍,ORG,14,0.004450095359186269,2.840513780802801e-4,29842.40040153726,4.723442444853809e-5
張阿毛,PERSON,1,3.178639542275906e-4,3.1798540793115465e-5,0,4.416570974295557e-5
許家梅,PERSON,1,3.178639542275906e-4,3.17985407931156e-5,0,4.416570974295557e-5
李松泉,PERSON,1,3.178639542275906e-4,3.179854079311106e-5,0,4.416570974295557e-5
陳杏生,PERSON,1,3.178639542275906e-4,3.1798540793113046e-5,0,4.416570974295557e-5
嚴阿金,PERSON,1,3.178639542275906e-4,3.1798540793111494e-5,0,4.416570974295557e-5
法公堂,ORG,26,0.008264462809917356,6.074289596584224e-4,159888.28650863902,5.128994204236549e-5
朱高標,PERSON,1,3.178639542275906e-4,3.179854079311592e-5,0,4.416570974295557e-5
朱立有,PERSON,1,3.178639542275906e-4,3.179854079311344e-5,0,4.416570974295557e-5
金星影業股份有限公司,ORG,3,9.535918626827717e-4,2.61006408847365e-8,6289,3.5249744439352814e-5
吳正矱,PERSON,1,3.178639542275906e-4,1.366352811468026e-9,0,3.173192866662436e-5
鳳昔醉,PERSON,1,3.178639542275906e-4,1.3663528141275604e-9,0,3.173192866662436e-5
周劍雲,PERSON,5,0.001589319771137953,4.958526003612596e-7,9964.854257278294,3.963849690819724e-5
中國通商銀行,ORG,11,0.0034965034965034965,2.5845183688420526e-4,89518.98092515879,4.8911714355588165e-5
賀君寀,PERSON,2,6.357279084551812e-4,1.3566978008999168e-5,3145,4.2394437849754115e-5
通商銀行,ORG,1,3.178639542275906e-4,7.102231409498827e-7,0,3.740695021134927e-5
張錫華,PERSON,17,0.00540368722186904,1.4785314483775307e-4,52502.06562844744,4.492766645700422e-5
市公安局,ORG,5,0.001589319771137953,1.3009385383637231e-5,10154.133852506711,4.110321016071355e-5
解治院,ORG,4,0.0012714558169103624,1.2973635718821703e-5,3866.1338525066208,4.109645337607364e-5
陳文斌,PERSON,8,0.0025429116338207248,3.365717118264494e-5,89307.44194359666,4.636068613815485e-5
俞福寅,PERSON,3,9.535918626827717e-4,3.315873632428637e-5,1424.7222970893433,4.418132013784572e-5
郭惠卿·吳榮坤,PERSON,3,9.535918626827717e-4,3.315873632429009e-5,1424.7222970893433,4.418132013784572e-5
檬姆飯店,ORG,6,0.0019071837253655435,2.3564496075752423e-5,2229.052059804941,3.9380931752845275e-5
許文斌,PERSON,13,0.004132231404958678,1.4401148882121944e-4,29917.060517672442,4.487121959974872e-5
許濤濤,PERSON,11,0.0034965034965034965,1.4229036697933095e-4,20927.67458335325,4.486316733961418e-5
余福英·吳惠卿,PERSON,2,6.357279084551812e-4,5.327936703276295e-6,2.9047328788708104,3.5102499297950014e-5
希圖,PERSON,2,6.357279084551812e-4,5.3279367032737866e-6,2.9047328788708104,3.5102499297950014e-5
公安局,ORG,26,0.008264462809917356,7.821196812888723e-5,53411.539740956854,3.9455513908068655e-5
普萊梅,PERSON,2,6.357279084551812e-4,5.327936703273682e-6,2.9047328788708104,3.5102499297950014e-5
楊志成,PERSON,1,3.178639542275906e-4,2.5216370630720736e-7,0,3.428649797709662e-5
法捕房特别機關,ORG,7,0.0022250476795931343,4.816936059760735e-6,18855,3.8430498443564814e-5
金九林,PERSON,3,9.535918626827717e-4,9.050213501831358e-5,22067.121212122554,4.369101712687871e-5
張子楹,PERSON,1,3.178639542275906e-4,2.521637063026518e-7,0,3.428649797709662e-5
周耀庭,PERSON,1,3.178639542275906e-4,2.521637063078558e-7,0,3.428649797709662e-5
周步廣,PERSON,1,3.178639542275906e-4,2.5216370630381976e-7,0,3.428649797709662e-5
秦有裕,PERSON,1,3.178639542275906e-4,2.5216370630928503e-7,0,3.428649797709662e-5
李新和,PERSON,1,3.178639542275906e-4,2.521637063093423e-7,0,3.428649797709662e-5
關炯之,PERSON,3,9.535918626827717e-4,3.306432590437491e-5,528.0787859033843,4.5968557506665444e-5
黃金榮,PERSON,5,0.001589319771137953,0.010293143703405921,22063.529461294976,4.743833017077799e-5
宗才良,PERSON,1,3.178639542275906e-4,2.8285459062060983e-5,0,3.653902367728734e-5
大同公司,ORG,2,6.357279084551812e-4,5.403206104133383e-4,3144.9999999999995,4.128307806630062e-5
特一院,ORG,8,0.0025429116338207248,3.74655636742496e-8,7,3.3221487658217334e-5
平安旅社,ORG,13,0.004132231404958678,5.503181487347225e-5,109550.98185828066,4.917146088410287e-5
蔡維才,PERSON,17,0.00540368722186904,0.001024371401841615,35039.783253051166,4.8666536889234965e-5
唐世良,PERSON,18,0.00572155117609663,0.001223875762759315,25943.377138419768,4.8652330446628395e-5
朱竟成,PERSON,22,0.006993006993006993,0.0013015447869750736,79392.41145968375,4.95000495000495e-5
陳仲衡,PERSON,20,0.006357279084551812,0.001282724683521224,39144.4658476647,4.973145016908693e-5
郞楚高夫,PERSON,2,6.357279084551812e-4,7.914767841901632e-5,5242.4549757474715,4.7514967214672624e-5
布拉國,PERSON,2,6.357279084551812e-4,7.914767841901467e-5,5242.4549757474715,4.7514967214672624e-5
拉租莫夫,PERSON,2,6.357279084551812e-4,7.914767841900517e-5,5242.4549757474715,4.7514967214672624e-5
特二法院,ORG,25,0.007946598855689765,9.098965750258758e-4,184005.41516131864,5.1961548454143937e-5
