"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5.34887459807074","1.7259442209346678E-6","0.1869552149083258","0.0","4","10","false","岳廷幹","18.0","0","4","0","0.8988633814402154","false","0","岳廷幹","12","1.0"
"5.995176848874598","4.667896053128259E-6","0.16680075087154733","0.0","3","10","false","崔聘臣","20.333333333333332","0","3","0","0.8838330965378","false","0","崔聘臣","54","0.8055555555555556"
"5.184887459807074","2.25123159252348E-6","0.19286821705426357","0.0","5","9","false","嵇金弧","23.0","0","5","0","0.9026770358184402","false","0","嵇金弧","20","1.0"
"5.770096463022508","3.451888441869336E-7","0.1733073279465032","0.0","2","10","false","巢崇山","15.0","0","2","0","0.8890675241157555","false","0","巢崇山","2","1.0"
"6.085209003215434","0.0","0.164332892998679","0.0","1","10","false","康吉","10.0","0","1","0","0.8817393255066178","false","0","康吉","0","0.0"
"4.921221864951768","8.296452441228708E-6","0.20320156811499512","0.0","2","8","false","龐竹","26.5","0","2","0","0.908808793838331","false","0","龐竹","4340","0.796875"
"6.522508038585209","0.0","0.15331525757949224","0.0","1","10","false","廰憲","14.0","0","1","0","0.8715695804980185","false","0","廰憲","0","0.0"
"5.509646302250804","0.0","0.18149985409979574","0.0","1","10","false","張佩琳","12.0","0","1","0","0.8951245045988186","false","0","張佩琳","0","0.0"
"4.744372990353698","5.125480450299183E-5","0.2107760081328363","0.0","2","8","false","張兆連","14.5","0","2","0","0.9129215583638676","false","0","張兆連","928","0.75"
"1.6923076923076923","0.007692307692307694","0.5909090909090909","0.0","4","2","false","張加言","10.0","0","4","0","0.9307692307692308","false","0","張加言","12","1.0"
"5.001607717041801","0.0","0.1999357119897139","0.0","1","8","false","張同轉","9.0","0","1","0","0.9069393554176326","false","0","張同轉","0","0.0"
"1.8","0.0024691358024691358","0.5555555555555556","0.0","2","2","false","張士模","9.0","0","2","0","0.911111111111111","false","0","張士模","2","1.0"
"5.213826366559486","0.003199900585612874","0.19179771816219549","0.0","4","9","false","張守仁","5.25","0","4","0","0.9020040379869887","false","0","張守仁","182010","0.38636363636363635"
"4.827974276527331","4.895494864695457E-5","0.20712620712620713","0.0","2","9","false","張星榆","19.0","0","2","0","0.9109773424063412","false","0","張星榆","528","0.5806451612903226"
"5.397106109324759","0.0","0.18528448019064642","0.0","1","9","false","張勗初","28.0","0","1","0","0.8977417183877963","false","0","張勗初","0","0.0"
