id,Type,mc4Degree,mc4Degree_norm,mc4Eig,mc4Betw,mc4Close
省電,ORG,2,1.753463089601964e-4,0.009357695324115347,151.8834998235446,2.4634789249377972e-5
寗波旅滬同鄕會,ORG,54,0.004734350341925302,0.04860512248960769,134090.84637050683,2.865083230667851e-5
李徵五,PERSON,105,0.00920568122041031,0.07473919078473894,141361.95708644946,2.6689441656880537e-5
朱佩珍,PERSON,836,0.07329475714536209,0.6768110069737759,5256614.237648459,3.372226343832198e-5
虞洽卿,PERSON,718,0.0629493249167105,0.5496427091311806,4941439.285751876,3.3530042918454936e-5
寗波第四中學,ORG,9,7.890583903208837e-4,0.018060330372894052,7753.163266555222,2.676444610978776e-5
浙江省長敎育廳長,ORG,9,7.890583903208837e-4,0.01806033037289405,7753.163266555222,2.676444610978776e-5
浙四中學,ORG,9,7.890583903208837e-4,0.01806033037289405,7753.163266555222,2.676444610978776e-5
佩珍,PERSON,24,0.0021041557075223566,0.025388533020472868,25410.601004065127,2.4123124427075796e-5
敎育,ORG,9,7.890583903208837e-4,0.018060330372894052,7753.163266555222,2.676444610978776e-5
宋某,PERSON,6,5.260389268805891e-4,0.0013492357762911187,1.6666666666666665,2.0509454858689857e-5
虞和德,PERSON,58,0.005085042959845696,0.04464364629387835,51844.8712510707,2.5303643724696355e-5
李雲書,PERSON,83,0.00727687182184815,0.07521735315454071,114356.42085337958,2.7358284088421974e-5
浙江省長,ORG,9,7.890583903208837e-4,0.018060330372894052,7753.163266555222,2.676444610978776e-5
敎育廳長,ORG,9,7.890583903208837e-4,0.018060330372894045,7753.163266555222,2.676444610978776e-5
蔣著卿,PERSON,6,5.260389268805891e-4,0.001349235776291117,1.6666666666666665,2.0509454858689857e-5
張傳保,PERSON,6,5.260389268805891e-4,0.0013492357762911198,1.6666666666666665,2.0509454858689857e-5
沈會植,PERSON,5,4.38365772400491e-4,0.001919626451566951,6.733126193595167,2.0350848630387886e-5
楊晟,PERSON,92,0.008065930212169033,0.116738995904354,89937.7977691019,2.7391256710857896e-5
吳慶坻,PERSON,8,7.013852358407856e-4,0.006252007166256367,752.137341591133,2.3443360840210053e-5
吳士鑑,PERSON,8,7.013852358407856e-4,0.006252007166256371,752.137341591133,2.3443360840210053e-5
葉爾愷,PERSON,8,7.013852358407856e-4,0.006252007166256372,752.137341591133,2.3443360840210053e-5
金蓉鏡,PERSON,5,4.38365772400491e-4,0.0019196264515669503,6.733126193595167,2.0350848630387886e-5
沈祖燕,PERSON,8,7.013852358407856e-4,0.0062520071662563745,752.137341591133,2.3443360840210053e-5
喻長霖,PERSON,154,0.013501665789935122,0.25748805063059244,89680.99893773641,2.7504263160789922e-5
章授,PERSON,5,4.38365772400491e-4,0.0019196264515669494,6.733126193595167,2.0350848630387886e-5
