DocId,Date,Title,Source
SPSP190508111206,19050811,自求多福,shunpao
SPSP190512121007,19051212,自求多福,shunpao
SPSP190601161102,19060116,羣黎徧德,shunpao
SPSP190607151016,19060715,閏四月廿一日至五月二十日施藥捐清單,shunpao
SPSP190808071905,19080807,禀准保護善舉,shunpao
SPSP192403201405,19240320,旅滬甬人請免調寗波稅務司,shunpao
SPSP190003040905,19000304,功德無量,shunpao
SPSP190101010907,19010101,善氣彌綸,shunpao
SPSP190011060906,19001106,筵資移助,shunpao
SPSP190011130907,19001113,種種陰功,shunpao
SPSP191911031109,19191103,關於賑務之消息,shunpao
SPSP190207210906,19020721,五月經收各寳號諸善士月捐清單,shunpao
SPSP190805162010,19080516,三月份經收月捐清單,shunpao
SPSP194206230422,19420623,麥蘭區,shunpao
SPSP191510061008,19151006,籌議擴張餘干煤礦紀聞,shunpao
SPSP190307031007,19030703,施醫贈藥一文愿册捐清單,shunpao
SPSP190307120907,19030712,明德惟馨,shunpao
SPSP190109210313,19010921,勸節中秋筵資以充善舉說,shunpao
SPSP190210050309,19021005,善欵彚登,shunpao
SPSP190210270313,19021027,善捐誌謝,shunpao
SPSP190201160904,19020116,福並增,shunpao
SPSP190112090314,19011209,定期施粥,shunpao
SPSP190203260906,19020326,加福增夀,shunpao
SPSP190207270310,19020727,降福孔多,shunpao
SPSP190411120316,19041112,添設西塾,shunpao
SPSP190407110906,19040711,孝思維則,shunpao
SPSP190410250313,19041025,至諴感神,shunpao
SPSP190602021108,19060202,華英兩塾,shunpao
SPSP190507260311,19050726,寓滬浙省紳商議定自辦全浙鐵路致京師各電,shunpao
SPSP190907102611,19090710,賑務,shunpao
SPSP190908292604,19090829,第三次清單,shunpao
SPSP191704111102,19170411,商界挽留税務所長,shunpao
SPSP189911250314,18991125,有開必先,shunpao
SPSP190003060907,19000306,壽筵移助,shunpao
SPSP191205050726,19120505,來件,shunpao
SPSP191801311013,19180131,法領對於售劵助賑之諮詢,shunpao
SPSP194112050707,19411205,朱葆三路大火　俄救火員授獎,shunpao
SPSP192008031107,19200803,旅滬台人開會籌賑,shunpao
SPSP190308310311,19030831,再添名醫,shunpao
SPSP190309281002,19030928,法良意美,shunpao
SPSP190305210910,19030521,各洋貨號春季捐清單,shunpao
SPSP190302100312,19030210,康彊逢吉,shunpao
SPSP190211290310,19021129,修德獲報,shunpao
SPSP190204170903,19020417,馬路工程局紀事,shunpao
SPSP190204210907,19020421,施及其時,shunpao
SPSP190201020313,19020102,飢寒戴德,shunpao
SPSP190202170313,19020217,開廠施粥,shunpao
SPSP190203240315,19020324,恩膏疉沛,shunpao
SPSP190107110908,19010711,熾昌壽臧,shunpao
SPSP190012160904,19001216,法良意美,shunpao
SPSP190010080908,19001008,泉壤銘恩,shunpao
SPSP190206080312,19020608,請還捐册,shunpao
SPSP190104250906,19010425,仁施渥沛,shunpao
SPSP190010290910,19001029,廣益堂捐欵淸單,shunpao
SPSP190012300906,19001230,加福增壽,shunpao
SPSP190410140317,19041014,介爾景福,shunpao
SPSP190501280314,19050128,志切安懷,shunpao
SPSP190601061102,19060106,恩膏疉沛,shunpao
SPSP190602151201,19060215,情毁樂善,shunpao
SPSP190605141809,19060514,各洋貨號春季捐清單,shunpao
SPSP190604161812,19060416,介爾景福,shunpao
SPSP190403220307,19040322,恩深挾纊,shunpao
SPSP190403300906,19040330,樂善可風,shunpao
SPSP190703211902,19070321,丙午年冬季各洋貨號捐淸單,shunpao
SPSP190609061002,19060906,各洋寶號夏季清册,shunpao
SPSP192307041424,19230704,振務免費電照限滿展期,shunpao
SPSP189911160905,18991116,粥捐先聲,shunpao
SPSP190001110906,19000111,躊躇滿志,shunpao
SPSP190001150906,19000115,羣生蒙福,shunpao
SPSP190001170904,19000117,並邀天眷,shunpao
SPSP189912010909,18991201,挾纊銘恩,shunpao
SPSP190002090315,19000209,開廠施粥,shunpao
SPSP190005130905,19000513,惠澤旁敷,shunpao
SPSP190101180905,19010118,以善及人,shunpao
SPSP194107041002,19410704,擎杯慶祝,shunpao
SPSP192802051519,19280205,法公董局之通告,shunpao
SPSP192210251421,19221025,關於浙賑之孫寳琦覆電,shunpao
SPSP189306120404,18930612,澤被桑梓,shunpao
SPSP192609091513,19260909,法商會弔朱之一函　請總商會轉致,shunpao
SPSP192407181301,19240718,本埠新聞總商會選長昨又開匭未成　　省長已,shunpao
SPSP190208030311,19020803,得彩行善,shunpao
SPSP190208030904,19020803,俾熾俾昌,shunpao
SPSP190307151006,19030715,及時施惠,shunpao
SPSP190303290906,19030329,煦物皆春,shunpao
SPSP190212120905,19021212,崇實黜華,shunpao
SPSP190211260309,19021126,推解情深,shunpao
SPSP190301230309,19030123,實惠均沾,shunpao
SPSP190111200907,19011120,各洋貨號秋季捐清單,shunpao
SPSP190203160906,19020316,羣黎徧德,shunpao
SPSP190201020314,19020102,衆善奉行,shunpao
SPSP190112120312,19011212,望切解推,shunpao
SPSP190112150907,19011215,康彊逢吉,shunpao
SPSP190107160909,19010716,善舉同登,shunpao
SPSP190104180905,19010418,有開必先,shunpao
SPSP190103050312,19010305,開廠施粥,shunpao
SPSP190012110312,19001211,開廠施粥,shunpao
SPSP190108280909,19010828,各洋號季捐清單,shunpao
SPSP190105300909,19010530,各洋貨寳號春季捐,shunpao
SPSP190101270907,19010127,一口是求,shunpao
SPSP190403100313,19040310,施種牛痘,shunpao
SPSP190403150907,19040315,煦物皆春,shunpao
SPSP190403150908,19040315,癸卯冬季各洋貨寳號四季捐淸單,shunpao
SPSP190312111001,19031211,歡臚黎庶,shunpao
SPSP190412060313,19041206,施粥届期,shunpao
SPSP190407050909,19040705,救急功崇,shunpao
SPSP190402250312,19040225,開廠施粥,shunpao
SPSP190409270310,19040927,施種牛痘,shunpao
SPSP190410280908,19041028,吉人爲善,shunpao
SPSP190412231102,19041223,宏開,shunpao
SPSP190501170313,19050117,仁心爲質,shunpao
SPSP192209101414,19220910,寗波同鄉會乞賑之兩電,shunpao
SPSP189911130312,18991113,勸募棉衣,shunpao
SPSP189911260906,18991126,善捐誌謝,shunpao
SPSP190001010910,19000101,義粟仁漿,shunpao
SPSP190001100907,19000110,積善回天,shunpao
SPSP190001250906,19000125,藉免斯飢,shunpao
SPSP189912010310,18991201,定期施粥,shunpao
SPSP189911280908,18991128,情殷推解,shunpao
SPSP190005150906,19000515,善欵彚誌,shunpao
SPSP191806181021,19180618,廣益中醫院開幕,shunpao
SPSP190407271001,19040727,五月份且捐清單,shunpao
SPSP190002200907,19000220,已亥十二月份月捐年捐清單,shunpao
SPSP191309021009,19130902,洋行寄存砲彈之糾葛,shunpao
SPSP191607181102,19160718,第三區救火會之籌備,shunpao
SPSP191807211115,19180721,滬南廣益中醫院開幕記,shunpao
SPSP190208160308,19020816,福田廣種,shunpao
SPSP190208260309,19020826,厚德載福,shunpao
SPSP190308050311,19030805,施當其阨,shunpao
SPSP190308050312,19030805,太各翔洽,shunpao
SPSP190309180314,19030918,聞風興起,shunpao
SPSP190302170312,19030217,定期開塾,shunpao
SPSP190305250313,19030525,俾爾戢榖,shunpao
